"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"23","Barnes Meadow Reservoir","BRNR",2021-06-02,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,1.79,1.45,7.34,0.46,7.21,386.18,68.37,2.3,0.05,1.23,1.51,9.81,0.03,1.44,0.02,0,11.42
"24","Chambers Outflow","CHD",2021-06-02,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,0,2.1,3.73,0.45,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65
"25","Chambers Reservoir","CBRR",2021-06-02,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,3.72,2.64,3.9,0.42,7.2,349.32,54.44,1.71,0.04,1,1.38,7.13,0.04,0.91,0.19,0,6.47
"26","Chambers Outflow","CHD",2021-06-07,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.75,NA,NA,3.88,0.46,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84
"27","Barnes Meadow Outflow","BMD",2021-06-07,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",4,NA,NA,7.42,0.54,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39
"28","Peterson Outlet","PTRO",2021-06-09,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",2.5,3,4.6,7.14,0.44,6.79,163.76,41.51,1.39,0.01,1.22,0.86,5.65,0.01,0.68,0.01,0,6.52
"29","Peterson Reservoir","PTRR",2021-06-09,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",3.4,6,4.79,7,0.48,6.8,178.19,39.37,1.37,0.01,1.19,0.77,5.05,0.03,0.67,0.01,0,6.61
"30","Barnes Meadow Outflow","BMD",2021-06-09,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",6.4,5,2.17,7.43,0.68,6.91,429.3,75.84,2.22,0.17,1.15,1.46,9.08,0.03,1.27,0.06,0,10.25
"31","Barnes Meadow Reservoir","BRNR",2021-06-09,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",3,3,1.83,7.39,0.5,7.09,426.01,68.78,2.22,0.02,1.17,1.53,9.51,0.02,1.28,0.03,0,10.33
"32","Chambers Reservoir","CBRR",2021-06-09,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",3.1,2,1.18,4.18,0.74,7.03,351.74,51.85,1.45,0.02,0.86,1.3,6.59,0.02,0.69,0.01,0,4.98
"33","Chambers Outflow","CHD",2021-06-09,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.5,2.11,1.54,4.08,0.46,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7
"34","Peterson Outlet","PTRO",2021-06-16,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",3,3,2.6,7.69,0.48,6.72,163.9,40.78,1.41,0.06,1.27,0.75,4.93,0.02,0.78,0.01,0,6.85
