"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"98","Chambers Reservoir","CBRR",2021-08-25,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",4.25,4.73,0.69,6.61,0.24,6.99,311.07,41.53,1.54,0.03,0.89,1.03,5.2,0.07,0.49,0.03,0,3.41
"99","Chambers Outflow","CHD",2021-08-25,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",2.75,59.42,1.26,6.53,0.23,6.92,359.27,45.5,1.58,0.04,0.91,1.12,5.22,0.04,0.51,0.05,0,3.33
"100","Peterson Outlet","PTRO",2021-09-01,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",3.7,6.35,2.53,8.67,0.38,7,274,44.78,1.73,0.06,1.38,0.52,5.4,0.03,0.84,0.36,0,6.75
"101","Peterson Reservoir","PTRR",2021-09-01,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",2.5,1.92,3.46,8.23,0.4,6.87,196.75,40.47,1.68,0.08,1.38,0.55,5.23,0.03,0.86,0.39,0,7.23
"102","Barnes Meadow Outflow","BMD",2021-09-01,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",13,5,1.23,7.02,0.53,6.9,421.2,65.39,2.41,0.31,1.09,1.51,7.33,0.03,1.56,0.22,0,9.36
"103","Barnes Meadow Reservoir","BRNR",2021-09-01,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4,1.6,0.02,13.96,0.43,7.22,494.3,78.45,2.68,0.04,1.32,1.77,9.66,0.03,1.81,0.03,0,10.23
"104","Chambers Reservoir","CBRR",2021-09-01,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",5,0.7,2.6,6.55,0.26,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54
"105","Chambers Outflow","CHD",2021-09-01,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3,1.21,1.11,6.49,0.24,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41
"106","Peterson Outlet","PTRO",2021-09-08,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",10,2.06,1.98,5.66,0.35,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65
"107","Peterson Reservoir","PTRR",2021-09-08,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",9.8,2,1.59,7.14,0.46,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63
"108","Barnes Meadow Outflow","BMD",2021-09-08,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",14,NA,4.82,7.85,0.6,6.86,408.09,62.84,2.5,0.33,1.09,1.18,6.37,0.03,1.7,0.09,0,8.57
"109","Barnes Meadow Reservoir","BRNR",2021-09-08,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",8,NA,2.36,11.86,0.42,6.98,425.66,72.15,2.61,0.3,1.29,1.06,9.74,0.04,1.67,0.08,0.09,8.59
"110","Chambers Reservoir","CBRR",2021-09-08,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",5.1,1000.3,0.98,6.65,0.2,6.98,382.51,61.43,1.66,0.01,1.31,1.64,10.32,0.06,1.7,0.03,0,3.4
"111","Chambers Outflow","CHD",2021-09-08,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",5.6,NA,1.38,5.59,0.19,6.93,402.33,45.38,1.61,0.01,0.88,1.19,5.18,0.03,0.57,0.11,0,3.25
"112","Peterson Outlet","PTRO",2021-09-15,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",13.5,5.96,1.64,4.21,0.31,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23
"113","Peterson Reservoir","PTRR",2021-09-15,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",9,5.34,1.03,4.81,0.43,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91
"114","Barnes Meadow Outflow","BMD",2021-09-15,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",10,5.8,1.16,6.53,0.58,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93
"115","Barnes Meadow Reservoir","BRNR",2021-09-15,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",5.4,6.12,3.2,6.29,0.31,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09
"116","Chambers Reservoir","CBRR",2021-09-15,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",5.8,1.12,1.08,5.66,0.2,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32
"117","Chambers Outflow","CHD",2021-09-15,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.8,NA,1.37,4.55,0.2,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3
"118","Comanche Inflow","COMI",2021-09-21,40.5858963,-105.6626,"Comanche Reservoir",0.173174601127291,"Burned","Inflow",2.1,0.38,0.17,2.34,0.19,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96
"119","Comanche Reservoir","COMR",2021-09-21,40.5853086,-105.6455009,"Comanche Reservoir",0.249668324769565,"Burned","Reservoir",10.1,2.5,0.68,1.96,0.17,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47
"120","Hourglass Inflow","HORI",2021-09-21,40.5805091,-105.6409321,"Hourglass Reservoir",0.050851142811688,"Burned","Inflow",2.1,0.1,0.18,1.04,0.26,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48
"121","Comanche Outflow","COMO",2021-09-21,40.5846048,-105.6440011,"Comanche Reservoir",0.249668324769565,"Burned","Outflow",10,4.9,2.68,2.45,0.24,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36
"122","Hourglass Reservoir","HORR",2021-09-21,40.582032,-105.6314023,"Hourglass Reservoir",0.101627305894318,"Burned","Reservoir",3.5,0.58,3.02,1.51,0.16,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62
"123","Hourglass Outflow","HORO",2021-09-21,40.5828742,-105.6309523,"Hourglass Reservoir",0.101627305894318,"Burned","Outflow",3.1,2.5,2.69,0.99,0.16,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64
"124","Peterson Outlet","PTRO",2021-09-22,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",10.5,NA,3.55,4.06,0.32,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75
"125","Peterson Reservoir","PTRR",2021-09-22,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",7.4,NA,1.12,4.73,0.52,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84
"126","Barnes Meadow Outflow","BMD",2021-09-22,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",6.6,NA,0.96,6.96,0.57,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53
"127","Barnes Meadow Reservoir","BRNR",2021-09-22,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4,NA,3.47,7.6,0.3,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06
"128","Chambers Reservoir","CBRR",2021-09-22,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",3.6,NA,0.91,5.51,0.18,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48
"129","Chambers Outflow","CHD",2021-09-22,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.5,NA,1.47,4.31,0.18,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63
"130","Peterson Outlet","PTRO",2021-09-28,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",11.5,NA,3.25,4.06,0.31,7.12,335.4,42.07,2.6,0.09,1.3,0.47,3.53,0.05,1.33,0.02,0.03,3.79
"131","Peterson Reservoir","PTRR",2021-09-28,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",9.3,NA,0.8,5.22,0.49,6.77,181.45,39.35,1.68,0.13,1.33,0.53,3.95,0.05,1.05,0.09,0,7.93
"132","Barnes Meadow Outflow","BMD",2021-09-28,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",9.3,NA,2.05,6.11,0.6,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73
"133","Barnes Meadow Reservoir","BRNR",2021-09-28,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",3.2,NA,3.1,7.33,0.3,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2
"134","Chambers Reservoir","CBRR",2021-09-28,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",5,NA,0.72,5.22,0.17,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58
"135","Chambers Outflow","CHD",2021-09-28,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.1,NA,1.15,4.22,0.19,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61
"136","Peterson Outlet","PTRO",2021-10-13,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",9.5,9.33,2.35,3.96,0.3,7.07,285.02,37.69,2.47,0.03,1.31,0.44,3.22,0.04,1.33,0.26,0,3.42
"137","Peterson Reservoir","PTRR",2021-10-13,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",11,5.58,1.53,5.41,0.47,6.89,192.31,39.53,1.73,0.12,1.31,0.51,3.51,0.04,1.08,0.13,0,7.82
"138","Barnes Meadow Outflow","BMD",2021-10-13,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",10.5,22.18,1.97,5.98,0.57,7.2,372.75,62.07,2.54,0.21,1.29,1.07,5.75,0.05,1.8,0,0,10.81
"139","Barnes Meadow Reservoir","BRNR",2021-10-13,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",5,4.3,4.6,7.09,0.34,7.24,476.04,74.96,2.61,0.03,1.27,1.09,8.05,0.07,1.87,0.01,0,10.62
"140","Chambers Reservoir","CBRR",2021-10-13,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",35.8,269.02,1.61,4.99,0.18,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85
"141","Chambers Outflow","CHD",2021-10-13,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",6.9,10,2.23,3.87,0.18,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87
"142","Barnes Meadow Outflow","BMD",2021-10-26,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",15,2.02,1.01,7.46,0.38,6.99,518.47,66.97,2.57,0.03,1.36,0.84,5.38,0.07,1.79,0.15,0,11.25
"143","Barnes Meadow Reservoir","BRNR",2021-10-26,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4,4,3.34,7.58,0.34,7.08,523.99,71.34,2.55,0.02,1.35,0.85,6.45,0.05,1.77,0.01,0,11.03
"144","Chambers Reservoir","CBRR",2021-10-26,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",5.5,1.82,2.08,4.33,0.18,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08
"145","Chambers Outflow","CHD",2021-10-26,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.5,1.82,2.41,4.49,0.2,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12
"146","Barnes Meadow Reservoir","BRNR",2022-06-01,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,3.93,5.13,0.45,7.29,455.23,64.41,1.98,0.02,1.22,1.23,8.01,0.01,1.58,0.15,0,7.01
"147","Barnes Meadow Outflow","BMD",2022-06-01,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,6.27,5.17,0.55,7.19,468.61,64.68,2,0.02,1.22,1,8.03,0.01,1.56,0.72,0,7.07
"148","Chambers Reservoir","CBRR",2022-06-01,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,10.23,3.7,0.64,7.32,425.4,55.35,1.91,0.02,1.13,0.68,7.11,0.07,1.27,1.91,0,3.88
"149","Chambers Outflow","CHD",2022-06-01,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,3.31,3.87,0.67,7.37,441.99,59.29,2.05,0.01,1.18,1.21,7.24,0.02,1.12,1.77,0,3.75
"150","Barnes Meadow Outflow","BMD",2022-06-07,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,3.83,5.18,0.5,7.04,383.93,59.87,2.2,0.02,1.29,0.96,7.8,0.02,1.65,0.49,0,6.79
"151","Barnes Meadow Reservoir","BRNR",2022-06-07,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,4.82,4.98,0.47,7.27,427.77,64.08,2.11,0.02,1.29,1.31,8.2,0.02,1.62,0.14,0,6.89
"152","Chambers Reservoir","CBRR",2022-06-07,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,11.03,3.48,0.54,7.46,381.75,53.61,1.94,0.02,1.12,0.76,7.88,0.07,1.21,1.54,0,3.75
"153","Chambers Outflow","CHD",2022-06-07,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,3.51,3.62,0.56,7.25,394.04,55.87,2,0.01,1.18,1.26,7.22,0.02,1.12,1.66,0,3.78
"154","Peterson Outlet","PTRO",2022-06-14,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",NA,NA,1.28,5.89,0.38,7.06,160.48,29.37,1.29,0.03,1.14,0.56,3.8,0.02,0.57,0.33,0,2.6
"155","Peterson Reservoir","PTRR",2022-06-14,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,NA,4.4,5.99,0.48,7.07,225.19,33.14,1.45,0.02,0.7,0.59,4.59,0.05,0.82,0.33,0,3.19
"156","Barnes Meadow Outflow","BMD",2022-06-14,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,4.03,5.88,0.59,7.19,413.61,73.04,2.1,0.03,1.23,1.39,11.21,0.02,1.66,0.45,0,7.43
"157","Barnes Meadow Reservoir","BRNR",2022-06-14,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,5.35,NA,NA,7.34,471.24,66.9,2.33,0.03,1.3,1.19,9.55,0.02,1.51,0.1,0,7.09
"158","Chambers Reservoir","CBRR",2022-06-14,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,7.55,NA,NA,7.26,310.82,35.76,1.38,0.02,0.85,0.79,6.54,0.04,0.77,1.01,0,2.82
"159","Chambers Outflow","CHD",2022-06-14,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,7.05,NA,NA,7.26,324.75,45.42,1.48,0.06,0.91,1.19,5.83,0.04,0.96,1.11,0,2.94
"160","Barnes Meadow Reservoir","BRNR",2022-06-22,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,2,NA,NA,7.44,422.31,75.67,2.27,0.06,1.29,1.65,11.23,0.02,1.68,0.38,0,7.72
"161","Chambers Reservoir","CBRR",2022-06-22,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,1.38,NA,NA,7.38,306.8,46.32,1.34,0.04,0.83,1.37,6.78,0.07,0.64,0.71,0,2.36
"162","Chambers Outflow","CHD",2022-06-22,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,3.76,NA,NA,7.37,319.01,45.77,1.42,0.09,0.84,1.26,6.67,0.05,0.65,0.79,0,2.32
"163","Peterson Reservoir","PTRR",2022-06-23,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,NA,0.74,6.23,0.51,7.01,201.57,32.12,1.36,0.04,1.16,0.73,4.7,0.04,0.57,0.26,0,2.32
"164","Peterson Outlet","PTRO",2022-06-23,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",NA,NA,0,6.13,0.42,7.11,273.48,36.56,1.37,0.04,1.2,0.72,4.87,0.02,0.58,0.24,0,2.35
"165","Barnes Meadow Outflow","BMD",2022-06-23,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,1.85,6.22,0.45,7.34,466.31,73.02,2.25,0.18,1.29,1.59,10.85,0.08,1.72,0.77,0,7.91
"166","Barnes Meadow Reservoir","BRNR",2022-06-23,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,1.72,NA,NA,7.57,526.75,80.44,2.28,0.06,1.3,1.6,11.1,0.02,1.7,0.39,0,7.76
"167","Chambers Reservoir","CBRR",2022-06-23,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,3.13,NA,NA,7.36,316.75,42.33,1.32,0.06,0.82,1.03,6.22,0.07,0.62,0.54,0,2.22
"168","Chambers Outflow","CHD",2022-06-23,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,2.93,NA,NA,7.41,376.25,47.84,1.45,0.07,0.88,1.12,6.55,0.04,0.62,0.62,0,2.22
"169","Peterson Reservoir","PTRR",2022-06-28,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,NA,0.69,6.45,0.52,7.05,231.16,31.28,1.35,0.06,1.11,0.63,3.97,0.04,0.55,0.23,0,2.22
"170","Peterson Outlet","PTRO",2022-06-28,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",NA,NA,1.25,5.89,0.48,7.16,277.31,34.38,1.4,0.1,1.15,0.62,4.13,0.02,0.58,0.26,0,2.26
"171","Barnes Meadow Outflow","BMD",2022-06-28,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,0.71,6.79,0.44,7.29,465.85,78.85,2.21,0.21,1.25,1.36,11.6,0.07,1.76,0.74,0,7.7
"172","Barnes Meadow Reservoir","BRNR",2022-06-28,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,1.92,NA,NA,7.79,543.98,83.18,2.23,0.07,1.25,1.38,12.84,0.02,1.69,0.38,0,7.59
"173","Chambers Reservoir","CBRR",2022-06-28,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,1.1,NA,NA,7.43,328.63,41.83,1.29,0.05,0.76,0.95,5.41,0.08,0.63,0.23,0,2.06
"174","Chambers Outflow","CHD",2022-06-28,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,1.75,NA,NA,7.41,371.34,44.39,1.49,0.07,0.86,1,6.42,0.05,0.56,0.62,0,2.13
"175","Comanche Inflow","COMI",2022-06-29,40.5858963,-105.6626,"Comanche Reservoir",0.173174601127291,"Burned","Inflow",NA,NA,0.36,NA,NA,7.01,165.11,21.32,1.25,0.04,0.28,0.51,2.88,0.02,0.23,0.56,0,0.67
"176","Comanche Reservoir","COMR",2022-06-29,40.5853086,-105.6455009,"Comanche Reservoir",0.249668324769565,"Burned","Reservoir",NA,NA,5.53,NA,NA,7.04,167.07,22.54,1.35,0.04,0.36,0.59,2.98,0.06,0.26,0.47,0,0.98
"177","Hourglass Inflow","HORI",2022-06-29,40.5805091,-105.6409321,"Hourglass Reservoir",0.050851142811688,"Burned","Inflow",NA,NA,0.29,NA,NA,6.88,150.26,18.78,1,0.02,0.28,0.48,2.15,0.06,0.16,0.57,0,0.72
"178","Comanche Outflow","COMO",2022-06-29,40.5846048,-105.6440011,"Comanche Reservoir",0.249668324769565,"Burned","Outflow",NA,NA,7.2,NA,NA,7.06,147.25,21.17,1.32,0.01,0.33,0.6,2.89,0.05,0.23,0.6,0,0.91
"179","Hourglass Outflow","HORO",2022-06-29,40.5828742,-105.6309523,"Hourglass Reservoir",0.101627305894318,"Burned","Outflow",NA,NA,2.3,NA,NA,6.93,123.45,18.72,1.08,0.02,0.38,0.54,2.39,0.06,0.24,0.22,0,0.9
"180","Hourglass Reservoir","HORR",2022-06-29,40.582032,-105.6314023,"Hourglass Reservoir",0.101627305894318,"Burned","Reservoir",NA,NA,1.93,NA,NA,7.09,142.35,19.12,0.99,0.03,0.34,0.52,2.29,0.07,0.24,0.21,0,0.82
"181","Peterson Reservoir","PTRO",2022-07-05,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",NA,NA,0.82,6.85,0.58,6.97,248.79,31.32,1.32,0.04,1.13,0.69,4.33,0.04,0.53,0.25,0,2.1
"182","Peterson Outlet","PTRR",2022-07-05,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,NA,0.62,6.42,0.46,7.21,300.54,35.56,1.35,0.05,1.14,0.67,4.43,0.02,0.52,0.25,0,2.11
"183","Barnes Meadow Outflow","BMD",2022-07-05,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,1.35,6.88,0.58,7.4,516.07,79.17,2.21,0.25,1.27,1.52,10.47,0.07,1.78,0.65,0,7.68
"184","Barnes Meadow Reservoir","BRNR",2022-07-05,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,5.04,NA,NA,7.68,516.16,78.31,2.26,0.06,1.27,1.52,10.87,0.02,1.69,0.3,0,7.6
"185","Chambers Reservoir","CBRR",2022-07-05,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,3.83,NA,NA,7.49,316.94,39.37,1.17,0.03,0.74,1.05,5.53,0.08,0.49,0.09,0,1.78
"186","Chambers Outflow","CHD",2022-07-05,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,1.13,NA,NA,7.42,438.26,51.35,1.5,0.04,0.92,1.22,7,0.08,0.56,0.71,0,2.12
"187","Peterson Reservoir","PTRR",2022-07-12,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,NA,0.62,NA,NA,7.03,256.31,34.55,1.31,0.03,1.18,0.73,4.56,0.03,0.54,0.13,0,2.03
"188","Peterson Outlet","PTRO",2022-07-12,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",NA,NA,2.02,NA,NA,7.04,310.99,37.69,1.42,0.04,1.19,0.72,4.78,0.02,0.5,0.12,0,2.1
"189","Peterson Outlet","PTRO",2022-07-12,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",NA,NA,2.02,NA,NA,7.04,310.99,37.69,1.42,0.04,1.19,0.72,4.78,0.02,0.5,0.12,0,2.1
"190","Barnes Meadow Outflow","BMD",2022-07-12,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,0.8,NA,NA,7.3,538.51,78.45,2.31,0.23,1.2,1.46,10.23,0.06,1.72,0.34,0,7.6
"191","Barnes Meadow Outflow","BMD",2022-07-12,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,0.8,NA,NA,7.3,538.51,78.45,2.31,0.23,1.2,1.46,10.23,0.06,1.72,0.34,0,7.6
"192","Barnes Meadow Reservoir","BRNR",2022-07-12,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,3.67,NA,NA,7.44,522.91,75.67,2.11,0.04,1.24,1.34,10.22,0.02,1.54,0.24,0,7.44
"193","Barnes Meadow Reservoir","BRNR",2022-07-12,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",NA,NA,3.67,NA,NA,7.44,522.91,75.67,2.11,0.04,1.24,1.34,10.22,0.02,1.54,0.24,0,7.44
"194","Chambers Reservoir","CBRR",2022-07-12,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,3.18,NA,NA,7.41,368.59,42.34,1.29,0.03,0.78,1.08,5.67,0.07,0.48,0.08,0,1.78
"195","Chambers Reservoir","CBRR",2022-07-12,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",NA,NA,3.18,NA,NA,7.41,368.59,42.34,1.29,0.03,0.78,1.08,5.67,0.07,0.48,0.08,0,1.78
"196","Chambers Outflow","CHD",2022-07-12,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,1.18,NA,NA,7.33,428.11,49.34,1.58,0.04,0.91,1.03,6.42,0.04,0.54,0.33,0,2.01
"197","Chambers Outflow","CHD",2022-07-12,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",NA,NA,1.18,NA,NA,7.33,428.11,49.34,1.58,0.04,0.91,1.03,6.42,0.04,0.54,0.33,0,2.01
"198","Comanche Inflow","COMI",2022-07-18,40.5858963,-105.6626,"Comanche Reservoir",0.173174601127291,"Burned","Inflow",NA,NA,0.58,NA,NA,7.01,175.41,19.77,1.04,0.01,0.3,0.45,2.3,0.02,0.15,0.48,0,0.6
"199","Comanche Reservoir","COMR",2022-07-18,40.5853086,-105.6455009,"Comanche Reservoir",0.249668324769565,"Burned","Reservoir",NA,NA,12.46,NA,NA,7.02,235,27.12,1.57,0.01,0.41,0.66,3.42,0.02,0.2,0.25,0,0.87
