Date,Ta_C,SM_5,SM_20,SM_50
2016-02-01,NA,NA,NA,NA
2016-02-02,NA,NA,NA,NA
2016-02-03,NA,NA,NA,NA
2016-02-04,NA,NA,NA,NA
2016-02-05,NA,NA,NA,NA
2016-02-06,NA,NA,NA,NA
2016-02-07,NA,NA,NA,NA
2016-02-08,NA,NA,NA,NA
2016-02-09,NA,NA,NA,NA
2016-02-10,NA,NA,NA,NA
2016-02-15,NA,NA,NA,NA
2016-02-17,NA,NA,NA,NA
2016-02-18,3.594185839534884,0.18357086744186046,0.07564369372093023,0.010617667930232558
2016-02-19,2.0831666666666666,0.17481480208333333,0.07668383989583333,0.01135380521875
2016-02-20,3.8166562385416665,0.178008146875,0.08012438833333334,0.00962699753125
2016-02-21,-1.1535729166666666,0.17102829895833332,0.0851051015625,0.008347855239583334
2016-02-22,-2.280437502083333,0.147103696875,0.08622863802083333,0.0073780375833333335
2016-02-23,-6.0347916040625,0.136273815625,0.08700934958333334,0.006944745916666667
2016-02-24,-2.707010394791667,0.111099284375,0.0876060025,0.006584145239583334
2016-02-25,-1.36548953125,0.09506886260416667,0.08801979333333333,0.006448600916666667
2016-02-26,4.435958252083333,0.11671554895833333,0.08854728916666667,0.0068639194583333335
2016-02-27,6.1856249270833334,0.17004887708333333,0.08826780927083333,0.006311564885416667
2016-02-28,3.636718676145833,0.19333844270833334,0.08817119239583333,0.005915734708333334
2016-02-29,1.4824270834375,0.1904527125,0.088603579375,0.00630265834375
2016-03-01,0.4208854177083334,0.15772073958333332,0.08926469822916666,0.0059563905625
2016-03-02,2.0024166657291667,0.167900378125,0.09001979197916667,0.00634390315625
2016-03-03,4.9470416146875,0.17239376979166668,0.09019689166666667,0.006386665083333333
2016-03-04,3.4847290739583334,0.18004727291666667,0.09100610708333333,0.00683021125
2016-03-05,4.805520791666667,0.1764995375,0.09141531427083334,0.006830775447916666
2016-03-06,5.48383325,0.17707450625,0.09187929291666666,0.007747045302083333
2016-03-07,0.6434895833333333,0.17405408541666667,0.092565955,0.010359846572916666
2016-03-08,-2.4110520822916666,0.16538396354166668,0.09332110739583334,0.008566928489583334
2016-03-09,-1.9905208333333333,0.13239386979166667,0.093237775625,0.007487998760416666
2016-03-10,3.687874915625,0.14902304270833333,0.09450771229166667,0.00713508403125
2016-03-11,6.77803121875,0.17757686458333333,0.095517815,0.0070613910520833335
2016-03-12,5.700708322916666,0.17495846458333333,0.09581338833333333,0.010619567916666666
2016-03-13,4.447447833333333,0.17043195520833335,0.0970831240625,0.012787490520833333
2016-03-14,1.209833334375,0.165717659375,0.09693312760416667,0.012828208229166667
2016-03-15,-5.467677083333333,0.15565661875,0.09740101927083333,0.01144829790625
2016-03-16,-4.613770833333334,0.09935551302083333,0.09766620583333334,0.009232793979166667
2016-03-17,-5.366916666666667,0.0893019671875,0.09931721395833333,0.0077524513125
2016-03-18,-9.641541541666667,0.092783829375,0.10014408052083333,0.0075049901875
2016-03-19,-8.823468708333333,0.09322973354166667,0.09974060552083333,0.0072715126562500005
2016-03-20,-0.23102086458333335,0.09130919739583333,0.10050864145833334,0.00724481628125
2016-03-21,7.21695828125,0.1129775203125,0.09960340958333333,0.007440078760416666
2016-03-22,6.7271144896875,0.223238278125,0.097553729375,0.0072335041875
2016-03-23,-3.570427083333333,0.23658839166666668,0.09873673635416666,0.007562252458333333
2016-03-24,-1.091697915625,0.22445501458333333,0.10085403520833333,0.0074649408020833335
2016-03-25,-3.2963332697916665,0.21888915104166667,0.1080919625,0.007733674489583333
2016-03-26,-7.234927,0.203598078125,0.11807914791666667,0.00802794015625
2016-03-27,-1.3363749792708333,0.18857537916666667,0.12438081666666667,0.008227707729166667
2016-03-28,3.6792499072916667,0.19425401666666667,0.12692139895833332,0.00841426415625
2016-03-29,1.5733749894791667,0.23180975208333332,0.12941405416666665,0.008556268166666667
2016-03-30,-3.4169583321875,0.233783696875,0.14625286875,0.008877595020833334
2016-03-31,-3.395593739583333,0.22317388020833334,0.156158703125,0.009075861104166666
2016-04-01,-1.7215,0.19726846458333333,0.15714515,0.009116046364583333
2016-04-02,3.6504165947916665,0.188413553125,0.15548955833333333,0.009465203625
2016-04-03,5.8535311666666665,0.22188584583333334,0.15538035520833332,0.009593253687500001
2016-04-04,7.009645791666666,0.22222362083333333,0.15856183541666666,0.0084554146875
