Date,Stage_cm,Discharge_Ls,Q_mm
2019-02-20,5.587500000000001,0.1671644642155323,2.5600683679813515e-4
2019-02-21,5.820833333333335,0.1997414202270717,3.0589736526759006e-4
2019-02-22,6.025000000000001,0.233473583696623,3.575570556732202e-4
2019-02-23,6.025000000000002,0.2334297983315696,3.5748999983777107e-4
2019-02-24,5.933333333333335,0.2178458116307636,3.3362364068841515e-4
2019-02-25,5.791666666666668,0.19474667861068537,2.982480840173215e-4
2019-02-26,5.741666666666668,0.18705278444961082,2.864651400999065e-4
2019-02-27,5.725000000000001,0.1845416633318987,2.826194413314553e-4
2019-02-28,5.712500000000001,0.18273507383741128,2.798527093944562e-4
2019-03-01,5.670833333333334,0.17664914940262263,2.705323178216762e-4
2019-03-02,5.616666666666668,0.16984389342287834,2.601102938278108e-4
2019-03-03,5.266666666666668,0.12647888158440734,1.9369821539607732e-4
2019-03-04,5.083333333333335,0.10830082885892109,1.6585913010220028e-4
2019-03-05,5.129166666666668,0.11268028807331158,1.7256612674544007e-4
2019-03-06,5.358333333333335,0.13612751346080978,2.084747753407951e-4
2019-03-07,5.441666666666668,0.14652870572215265,2.244038565737681e-4
2019-03-08,5.5583333333333345,0.16120853505264612,2.468855286759835e-4
2019-03-09,5.616666666666668,0.16898688950473656,2.587978207299148e-4
2019-03-10,5.720833333333335,0.18414413708386068,2.8201064305736026e-4
2019-03-11,5.879166666666668,0.20865786268677888,3.195526013867875e-4
2019-03-12,6.133333333333335,0.25394767042720584,3.889124409509733e-4
2019-03-13,6.387500000000001,0.30782153848681293,4.7141848440191504e-4
2019-03-14,6.041666666666668,0.2366194767487627,3.623748866216993e-4
2019-03-15,5.962500000000001,0.22430720130654616,3.4351904483414587e-4
2019-03-16,6.266666666666668,0.280608952516607,4.29743310865347e-4
2019-03-17,6.537500000000001,0.34077658043194053,5.218880389481742e-4
2019-03-18,6.787500000000001,0.40424251664739863,6.190840168804382e-4
2019-03-19,6.987500000000002,0.46265164800394537,7.085356657634003e-4
2019-03-20,7.145833333333335,0.5114359065585258,7.832471409367228e-4
2019-03-21,7.387500000000001,0.5970664305686998,9.143874505000428e-4
2019-03-22,7.787500000000001,0.7711336018696904,0.0011809655544307294
2019-03-23,8.25,0.987259635940626,0.001511955412782964
2019-03-24,8.291666666666668,1.0105280793102087,0.0015475902626430574
2019-03-25,8.358333333333334,1.0482629606922624,0.001605379982874008
2019-03-26,8.570833333333335,1.1764799189034758,0.0018017400050208772
2019-03-27,8.666666666666668,1.2367720253452616,0.001894075367841511
2019-03-28,8.708333333333334,1.263668703063941,0.0019352667383606662
2019-03-29,8.7125,1.266027165130926,0.0019388786448523397
2019-03-30,8.758333333333335,1.2971668669264318,0.001986568066123274
2019-03-31,8.883333333333335,1.3836995291473506,0.002119089970457775
2019-04-01,9.029166666666669,1.4905167760604507,0.0022826770439786756
2019-04-02,9.066666666666668,1.5182762807210333,0.002325189805363631
2019-04-03,9.116666666666667,1.5565721267786339,0.0023838386244037463
2019-04-04,9.229166666666668,1.646842521826427,0.0025220847426870386
2019-04-05,9.529166666666669,1.9114668949300075,0.002927348199940667
2019-04-06,9.745833333333335,2.1069017509972627,0.0032266502049252167
2019-04-07,9.725000000000001,2.086796497623477,0.003195859675709561
2019-04-08,9.912500000000001,2.277539962098845,0.003487976969952766
2019-04-09,10.116666666666667,2.4929082267544613,0.003817806329559357
2019-04-10,10.333333333333336,2.747619358788877,0.004207887986659204
2019-04-11,10.262500000000001,2.6585597787205764,0.004071496191388296
2019-04-12,10.391666666666667,2.8150036986455356,0.004311084869904625
2019-04-13,10.45416666666667,2.888912881832094,0.004424274334464083
2019-04-14,10.637500000000001,3.1261246235531317,0.004787556255262035
2019-04-15,10.387500000000001,2.811304932878718,0.004305420332716869
2019-04-16,10.3,2.703173636177423,0.004139820835495456
2019-04-17,10.404166666666669,2.8281726645795495,0.004331252704788016
2019-04-18,10.325000000000001,2.735558378820464,0.004189416995561372
2019-04-19,10.333333333333334,2.7458940536610528,0.0042052457390358315
2019-04-20,10.533333333333335,2.989755301153888,0.004578711157546036
2019-04-21,10.629166666666668,3.114832635183962,0.004770262949312601
2019-04-22,10.733333333333334,3.250981131680276,0.004978769859476852
2019-04-23,10.741666666666669,3.269269001720431,0.005006777126348591
2019-04-24,11.187500000000002,3.9142188719383686,0.005994496477723274
2019-04-25,11.350000000000001,4.175645475084524,0.006394862656267279
2019-04-26,11.483333333333334,4.394631131776532,0.006730231931890358
2019-04-27,11.445833333333335,4.325922648442013,0.006625007166793225
2019-04-28,11.512500000000001,4.445365828697072,0.006807930438779914
2019-04-29,11.770833333333336,4.901536306433902,0.007506540407077524
2019-04-30,12.270833333333334,5.871627207507494,0.00899220247141612
2019-05-01,12.645833333333334,6.690909560637184,0.01024690624266044
2019-05-02,12.950000000000001,7.412177318463041,0.011351503909586853
2019-05-03,12.833333333333334,7.165648705724435,0.010973953509604307
2019-05-04,12.529166666666669,6.451388749047988,0.009880088057886366
2019-05-05,12.766666666666667,6.990651597377933,0.010705951237908297
2019-05-06,12.879166666666668,7.247263851668942,0.011098944400737311
2019-05-07,13.016666666666667,7.573284969062693,0.01159823493706658
2019-05-08,13.329166666666667,8.380206837667652,0.012834009035911217
2019-05-09,14.145833333333336,10.7475115364863,0.016459457725176437
2019-05-10,13.854166666666668,9.868656775243531,0.015113520785249726
2019-05-11,14.041666666666668,10.427975760392354,0.015970099274111287
2019-05-12,13.795833333333334,9.726871258873958,0.014896380965971127
2019-05-13,13.741666666666667,9.526147780429412,0.01458897961109075
2019-05-14,13.979166666666668,10.233816433747787,0.015672750700164117
2019-05-15,13.833333333333336,9.823257131388846,0.015043992735316732
2019-05-16,13.712500000000002,9.44203412133703,0.014460162329877242
2019-05-17,13.820833333333335,9.754794105327168,0.014939143879898033
2019-05-18,13.770833333333336,9.614554063149253,0.014724370903124005
2019-05-19,13.791666666666668,9.679755723931574,0.014824225085705212
2019-05-20,14.325000000000001,11.310816742599801,0.017322140979334464
2019-05-21,15.141666666666667,14.152285057483773,0.021673755531920594
2019-05-22,15.195833333333335,14.361533963488299,0.02199421329656021
2019-05-23,14.900000000000002,13.260452967813038,0.02030794424359977
2019-05-24,14.679166666666669,12.538978799336725,0.019203030465603024
2019-05-25,14.554166666666669,12.077992594205735,0.018497045370403614
2019-05-26,14.645833333333334,12.37632475643114,0.01895393118955714
2019-05-27,15.175,14.281356738813367,0.02187142453419611
2019-05-28,16.8875,21.339429068951347,0.03268062838987524
2019-05-29,16.745833333333334,20.706294797972905,0.03171100423714443
2019-05-30,16.243750000000002,18.537327331745367,0.028389302446319778
2019-05-31,16.267708333333335,18.61730740669083,0.02851178928040711
2019-06-01,16.171875,18.217716443832852,0.027899828963993838
2019-06-02,16.171875,18.205865906334157,0.02788168025856392
2019-06-03,16.21666666666667,18.403893248855738,0.02818495257063334
2019-06-04,15.80625,16.74963104494138,0.025651504830731
2019-06-05,15.744791666666668,16.456417070476434,0.025202457346506148
2019-06-06,15.278125000000001,14.716572414490196,0.022537942917620783
2019-06-07,14.994791666666668,13.61562759727019,0.02085188241745136
2019-06-08,15.102083333333335,14.005268481306958,0.02144860451791446
2019-06-09,14.750000000000002,12.765383955342644,0.019549762458529057
2019-06-10,14.484375000000002,11.896360141810073,0.018218881289204226
2019-06-11,14.470833333333335,11.803675278137177,0.01807693749224167
2019-06-12,14.559375000000001,12.154119070248788,0.018613630545487495
2019-06-13,14.477083333333335,11.820156643419987,0.018102178156948534
2019-06-14,14.348958333333334,11.418667428618877,0.01748731073059603
2019-06-15,13.968750000000002,10.263825912591805,0.015718709222442586
2019-06-16,13.636458333333335,9.24134498395426,0.014152813567194849
2019-06-17,13.621875000000001,9.198451683496945,0.014087123899109943
2019-06-18,14.653125000000001,12.449082140878414,0.01906535671252018
