Date,Ta_C,Ts_C,SM_5,SM_20,SM_40,SM_50
2016-09-18,17.2125,16.790625,0.06315625,0.06734375000000001,0.0650625,0.056375
2016-09-19,15.003125,14.713541666666666,0.0605625,0.06569791666666666,0.06426041666666667,0.054677083333333334
2016-09-20,13.80625,13.354166666666666,0.05798958333333334,0.06275,0.06458333333333334,0.05410416666666667
2016-09-21,16.258333333333333,14.122916666666667,0.05730208333333334,0.061281249999999995,0.06444791666666667,0.053968749999999996
2016-09-22,13.129166666666666,14.851041666666667,0.056552083333333336,0.0615,0.06480208333333333,0.054010416666666665
2016-09-23,10.416666666666666,13.609375,0.05508333333333333,0.062072916666666665,0.06540625,0.05352083333333333
2016-09-24,6.848958333333333,10.105208333333334,0.053614583333333334,0.06146875,0.06545833333333334,0.051625
2016-09-25,8.85,10.966666666666667,0.054739583333333335,0.06433333333333334,0.06465625,0.0513125
2016-09-26,9.976041666666667,11.111458333333333,0.05535416666666666,0.06546875,0.06460416666666667,0.051604166666666666
2016-09-27,12.107291666666667,11.922916666666666,0.05633333333333333,0.06642708333333333,0.06484375,0.05210416666666667
2016-09-28,12.18125,12.129166666666666,0.05628125,0.06563541666666667,0.06516666666666666,0.05227083333333333
2016-09-29,13.446875,12.555208333333333,0.05590625,0.06519791666666667,0.065375,0.05219791666666666
2016-09-30,12.945833333333333,12.510416666666666,0.055114583333333335,0.06266666666666666,0.06576041666666667,0.05201041666666666
2016-10-01,11.617708333333333,11.828125,0.05397916666666667,0.06373958333333334,0.06523958333333334,0.05140625
2016-10-02,11.769791666666666,11.651041666666666,0.05333333333333333,0.06291666666666666,0.06508333333333334,0.051229166666666666
2016-10-03,7.019791666666666,9.878125,0.051854166666666666,0.06363541666666667,0.06463541666666667,0.05009375
2016-10-04,4.75625,8.284375,0.05059375,0.06271875,0.06402083333333333,0.0495625
2016-10-05,5.5875,7.773958333333334,0.050041666666666665,0.06184375,0.06344791666666667,0.049
2016-10-06,1.9572916666666667,6.951041666666667,0.05019791666666667,0.06096875,0.061406249999999996,0.048052083333333336
2016-10-07,4.470833333333333,6.008333333333334,0.05028125,0.06305208333333333,0.06170833333333333,0.0480625
2016-10-08,9.7875,7.542708333333334,0.051645833333333335,0.06334375,0.061989583333333334,0.04826041666666667
2016-10-09,10.235416666666667,8.160416666666666,0.05248958333333333,0.06327083333333333,0.062197916666666665,0.04888541666666667
2016-10-10,11.161458333333334,8.734375,0.053125,0.06373958333333334,0.06253125,0.04923958333333334
2016-10-11,9.876041666666667,9.390625,0.05358333333333333,0.06253125,0.06310416666666667,0.04927083333333333
2016-10-12,6.469791666666667,8.722916666666666,0.054677083333333334,0.06297916666666667,0.061572916666666665,0.04847916666666667
2016-10-13,8.725,8.153125,0.0545,0.066625,0.062281249999999996,0.049375
2016-10-14,16.60625,10.294791666666667,0.05626041666666667,0.06744791666666666,0.06352083333333333,0.05040625
2016-10-15,15.046875,11.065625,0.056927083333333336,0.06827083333333334,0.063875,0.05121875
2016-10-16,14.658333333333333,10.748958333333333,0.05677083333333333,0.06740625,0.06403125,0.0515625
2016-10-17,6.610416666666667,8.246875,0.055531250000000004,0.06598958333333334,0.06284375,0.05034375
2016-10-18,NA,NA,NA,0.07595833333333334,0.058291666666666665,0.06659375
2016-10-19,NA,5.0125,0.07338541666666666,0.0915,0.06426041666666667,0.08895833333333333
2016-10-20,NA,3.4854166666666666,0.07226041666666666,0.08954166666666666,0.06320833333333334,0.08882291666666667
2016-10-21,NA,6.111458333333333,0.07459375,0.09056249999999999,0.062177083333333334,0.08827083333333333
2016-10-22,NA,5.935416666666667,0.07467708333333332,0.09090625,0.06325,0.08840624999999999
2016-10-23,NA,6.279166666666667,0.07452083333333333,0.09139583333333333,0.06341666666666666,0.08845833333333333
2016-10-24,NA,6.820833333333334,0.07468749999999999,0.09189583333333333,0.06352083333333333,0.08848958333333333
2016-10-25,NA,7.584375,0.07509375,0.09302083333333333,0.06383333333333334,0.08865624999999999
2016-10-26,NA,7.366666666666667,0.07473958333333333,0.09285416666666667,0.06428125,0.08860416666666666
2016-10-27,NA,7.726041666666666,0.07454166666666666,0.09296875,0.06402083333333333,0.08851041666666666
2016-10-28,NA,8.429166666666667,0.07488541666666666,0.09354166666666666,0.0645,0.08860416666666666
2016-10-29,NA,8.390625,0.07454166666666666,0.09386458333333333,0.06529166666666666,0.08871875
2016-10-30,NA,7.755208333333333,0.07411458333333333,0.09340625,0.06520833333333334,0.08872916666666666
2016-10-31,NA,9.072916666666666,0.07468749999999999,0.094,0.06516666666666666,0.08878124999999999
2016-11-01,NA,6.885416666666667,0.07279166666666666,0.09297916666666667,0.06558333333333334,0.08885416666666666
2016-11-02,NA,6.442708333333333,0.07353124999999999,0.093,0.06573958333333334,0.08882291666666667
2016-11-03,NA,3.715625,0.07291666666666666,0.09126041666666666,0.06480208333333333,0.08855208333333332
2016-11-04,NA,3.0854166666666667,0.07361458333333333,0.0895,0.06348958333333334,0.08802083333333333
2016-11-05,NA,4.341666666666667,0.074875,0.09009375,0.06282291666666667,0.08759375
2016-11-06,NA,5.248958333333333,0.07540625,0.09097916666666667,0.06245833333333333,0.08721875
2016-11-07,NA,5.765625,0.07576041666666666,0.09169791666666667,0.06252083333333333,0.08756249999999999
2016-11-08,NA,3.9947916666666665,0.07395833333333333,0.09060416666666667,0.06296875,0.088
2016-11-09,NA,4.098958333333333,0.07392708333333332,0.09021875,0.06271875,0.08823958333333333
2016-11-10,NA,4.571875,0.07479166666666666,0.09020833333333333,0.0628125,0.08944791666666667
