Date,Stage_pt_cm,Stage_cr_cm,Discharge_Ls_pt,Discharge_Ls_cr,Q_mm_pt,Q_mm_cr
2016-09-18,10.133764378749962,NA,4.459442869014165,NA,0.15305917605483013,NA
2016-09-19,10.306514536666663,NA,4.739670611654771,NA,0.16267728949548016,NA
2016-09-20,10.31374883402084,NA,4.751754860792888,NA,0.16309205099610913,NA
2016-09-21,10.296093721010402,NA,4.718279435939364,NA,0.16194309111554486,NA
2016-09-22,10.888881332593757,NA,5.79697762376434,NA,0.19896669713313428,NA
2016-09-23,11.316611543843752,NA,6.68900340604514,NA,0.22958324168049102,NA
2016-09-24,11.99961109243749,NA,8.316792017116994,NA,0.28545299736976454,NA
2016-09-25,11.918102576135398,NA,8.106694791931268,NA,0.27824193779957157,NA
2016-09-26,11.770390498593763,NA,7.7405666182136885,NA,0.26567550781141014,NA
2016-09-27,11.50640162852082,NA,7.114598074869678,NA,0.24419070975598467,NA
2016-09-28,11.22970257110418,NA,6.493264498832771,NA,0.22286499531210077,NA
2016-09-29,11.266749233552076,NA,6.575843712064068,NA,0.22569931939869523,NA
2016-09-30,11.606984580395816,NA,7.340337988445889,NA,0.25193866531669834,NA
2016-10-01,11.501565825177076,NA,7.0959082004796565,NA,0.24354922675940188,NA
2016-10-02,11.185530001260428,NA,6.434956312677703,NA,0.22086371327031085,NA
2016-10-03,11.10448214228124,NA,6.234228455431535,NA,0.21397423372235516,NA
2016-10-04,11.14516060069792,NA,6.315930623477697,NA,0.21677845543577362,NA
2016-10-05,10.309272621687501,NA,4.7368547572624715,NA,0.16258064236581954,NA
2016-10-06,10.750545718812468,NA,5.561412114535545,NA,0.1908815026798042,NA
2016-10-07,11.400474612281254,NA,6.880542004469948,NA,0.2361573229993261,NA
2016-10-08,11.66639765721879,NA,7.486761130184562,NA,0.25696427189764676,NA
2016-10-09,11.4484430277604,NA,6.98168634002962,NA,0.23962884828131692,NA
2016-10-10,11.172660890802085,NA,6.376423303730709,NA,0.21885471475085738,NA
2016-10-11,10.874784779093748,NA,5.77386454796096,NA,0.1981733988574373,NA
2016-10-12,11.153587187593736,NA,6.340699869229407,NA,0.2176285975852782,NA
2016-10-13,10.73902708864585,NA,5.503843923497009,NA,0.18890561911180295,NA
2016-10-14,10.550989552416663,NA,5.160996650225793,NA,0.17713824755869723,NA
2016-10-15,10.44128207019791,NA,4.968398330405507,NA,0.17052779396457945,NA
2016-10-16,10.285056254374991,NA,4.696306413708952,NA,0.1611889223153591,NA
2016-10-17,10.253373430135419,NA,4.64517384123803,NA,0.15943392519086552,NA
2016-10-18,11.176354937760427,NA,6.619652902051546,NA,0.22720295981299551,NA
2016-10-19,12.070750790968738,NA,8.505083891165492,NA,0.29191564302891926,NA
2016-10-20,11.91771002871875,NA,8.134494512175,NA,0.27919609337461565,NA
2016-10-21,12.179085089593757,NA,8.789979555396423,NA,0.30169397115411384,NA
2016-10-22,12.026146858385426,NA,8.386984135375421,NA,0.2878621655330856,NA
2016-10-23,12.083034009760423,NA,8.539874802000407,NA,0.2931097536617945,NA
2016-10-24,11.973293571135411,NA,8.244812906806807,NA,0.28298249519251106,NA
2016-10-25,11.946548348916673,NA,8.174925118873146,NA,0.28058377240322563,NA
2016-10-26,11.839812802177095,NA,7.907902706140442,NA,0.271418898744899,NA
2016-10-27,11.677841586197907,NA,7.513727909991262,NA,0.25788983888421924,NA
2016-10-28,11.81907077244792,NA,7.854077774307435,NA,0.26957149314748435,NA
2016-10-29,11.969602453635416,NA,8.233544230662584,NA,0.2825957261864884,NA
2016-10-30,11.663054412895836,NA,7.473618729032669,NA,0.2565131919868202,NA
2016-10-31,11.603333742947884,NA,7.335191340540078,NA,0.2517620195537531,NA
2016-11-01,11.478954068666667,NA,7.049837287244085,NA,0.2419679583751992,NA
2016-11-02,11.732509672885408,NA,7.6432979360311375,NA,0.262337004597422,NA
2016-11-03,11.478036415843732,NA,7.053243670105813,NA,0.24208487391139008,NA
2016-11-04,11.303331576854143,NA,6.668891422904283,NA,0.22889294837283197,NA
2016-11-05,11.426221621572926,NA,6.92787221939327,NA,0.237781813751074,NA
2016-11-06,11.500280525333338,NA,7.094085244018944,NA,0.24348665835746106,NA
2016-11-07,11.555103140947917,NA,7.220970306171257,NA,0.24784166942883115,NA
2016-11-08,11.656129905760407,NA,7.459757299354032,NA,0.25603743322773936,NA
2016-11-09,11.512869140156257,NA,7.127503490728906,NA,0.2446336557418574,NA
2016-11-10,11.792321156041657,NA,7.82871569330369,NA,0.2687010034169304,NA
2016-11-11,11.976435415197937,NA,8.261733825770607,NA,0.2835632632370319,NA
2016-11-12,12.132010158906251,NA,8.668894271056306,NA,0.2975380228893119,NA
2016-11-13,12.383438244010408,NA,9.350348640035241,NA,0.3209272325503694,NA
2016-11-14,12.28422554627083,NA,9.0856076583,NA,0.3118406632809439,NA
2016-11-15,12.255521248791647,NA,8.993327372172716,NA,0.3086733742325995,NA
2016-11-16,12.06306169520833,NA,8.480361965330145,NA,0.29106712501669424,NA
2016-11-17,11.860899775624995,NA,7.965084955346682,NA,0.2733815358288457,NA
2016-11-18,11.473808475104175,NA,7.061223483948336,NA,0.2423587609792779,NA
2016-11-19,11.805108974031237,NA,7.934712832312104,NA,0.27233908898890313,NA
2016-11-20,12.308526867874978,NA,9.151672921592775,NA,0.3141081875126587,NA
2016-11-21,12.179096075062484,NA,8.786347636902876,NA,0.30156931467382053,NA
2016-11-22,12.266946136291661,NA,9.029999834662162,NA,0.30993206440027443,NA
