Date,Stage_cm
2015-10-01,7.4215277777777775
2015-10-02,7.6940277777777775
2015-10-03,7.971805555555555
2015-10-04,8.227013888888889
2015-10-05,8.20861111111111
2015-10-06,8.187430555555556
2015-10-07,8.082222222222223
2015-10-08,7.838611111111111
2015-10-09,7.772638888888888
2015-10-10,7.660555555555556
2015-10-11,7.670763888888889
2015-10-12,7.625694444444444
2015-10-13,7.61375
2015-10-14,7.651805555555556
2015-10-15,7.782823275862069
2015-10-16,8.056875
2015-10-17,8.144097222222221
2015-10-18,8.213472222222222
2015-10-19,8.286944444444444
2015-10-20,8.350972222222222
2015-10-21,9.666180555555556
2015-10-22,10.559017063109398
2015-10-23,10.163402777777778
2015-10-24,9.349652777777777
2015-10-25,9.031944444444445
2015-10-26,8.862847222222223
2015-10-27,8.957638888888889
2015-10-28,8.624930555555556
2015-10-29,8.761805555555556
2015-10-30,8.773819444444445
2015-10-31,8.567361111111111
2015-11-01,7.905833333333334
2015-11-02,8.504930555555555
2015-11-03,8.256458333333333
2015-11-04,8.908125
2015-11-05,10.055416666666666
2015-11-06,9.21513888888889
2015-11-07,8.898194444444444
2015-11-08,8.891458333333333
2015-11-09,8.852708333333334
2015-11-10,8.993125000000001
2015-11-11,9.91
2015-11-12,9.458055555555555
2015-11-13,9.152887496929502
2015-11-23,9.398611111111112
2015-11-24,9.430555555555555
2015-11-25,9.457638888888889
2015-11-26,9.347916666666666
2015-11-27,9.077777777777778
2015-11-28,9.034722222222221
2015-11-29,8.85625
2015-11-30,8.721527777777778
2015-12-01,8.622916666666667
2015-12-02,8.452083333333334
2015-12-03,8.453472222222222
2015-12-04,8.422222222222222
2015-12-05,8.396527777777777
2015-12-06,8.398611111111112
2015-12-07,8.661805555555556
2015-12-08,8.980555555555556
2015-12-09,9.072222222222223
2015-12-10,9.097222222222221
2015-12-11,9.131944444444445
2015-12-12,9.022916666666667
2015-12-13,8.685416666666667
2015-12-14,8.658333333333333
2015-12-15,9.122916666666667
2015-12-16,8.61736111111111
2015-12-17,8.168055555555556
2015-12-18,8.269444444444444
2015-12-19,8.029861111111112
2015-12-20,8.208333333333332
2015-12-21,8.233333333333333
2015-12-22,8.316666666666666
2015-12-23,8.102083333333333
2015-12-24,7.864583333333333
2015-12-25,7.604861111111111
2015-12-26,7.499305555555556
2015-12-27,7.3180555555555555
2015-12-28,7.135416666666667
2015-12-29,7.059722222222223
2015-12-30,7.18125
2015-12-31,6.898611111111111
2016-01-01,6.648611111111111
2016-01-02,6.708333333333333
2016-01-03,6.785416666666666
2016-01-04,7.074305555555555
2016-01-05,7.124305555555556
2016-01-06,7.355555555555555
2016-01-07,7.3902777777777775
2016-01-08,7.504166666666666
2016-01-09,7.304861111111111
2016-01-10,6.835416666666666
2016-01-11,7.159722222222222
2016-01-12,7.268055555555556
2016-01-13,7.4222222222222225
2016-01-14,7.566666666666666
2016-01-15,7.510416666666666
2016-01-16,7.452083333333333
2016-01-17,7.45
2016-01-18,7.571527777777778
2016-01-19,7.657638888888889
2016-01-20,7.572916666666667
2016-01-21,7.509722222222222
2016-01-22,7.394444444444445
2016-01-23,7.565277777777778
2016-01-24,7.661111111111111
2016-01-25,7.498611111111111
2016-01-26,6.956944444444445
2016-01-27,6.853472222222222
2016-01-28,7.298611111111111
2016-01-29,7.5784722222222225
2016-01-30,8.252777777777778
2016-01-31,8.052777777777777
2016-02-01,9.475694444444445
2016-02-02,12.18125
2016-02-03,9.375
2016-02-04,7.925694444444445
2016-02-05,7.584027777777778
2016-02-06,7.6402777777777775
2016-02-07,7.914583333333334
2016-02-08,8.009027777777778
2016-02-09,8.806944444444444
2016-02-10,9.691666666666666
2016-02-11,10.385416666666666
2016-02-12,10.641666666666666
2016-02-13,10.622222222222222
2016-02-14,10.572222222222223
2016-02-15,10.622916666666667
2016-02-16,11.009722222222223
2016-02-17,11.227083333333333
2016-02-18,11.815972222222221
2016-02-19,12.597916666666666
2016-02-20,11.434722222222222
2016-02-21,11.89236111111111
2016-02-22,11.588194444444444
2016-02-23,11.258333333333333
2016-02-24,11.010416666666666
2016-02-25,10.936111111111112
2016-02-26,10.875
2016-02-27,9.825694444444444
2016-02-28,10.741666666666667
2016-02-29,10.70625
2016-03-01,10.393055555555556
2016-03-02,10.373611111111112
2016-03-03,10.7125
2016-03-04,10.616666666666667
2016-03-05,10.689583333333333
2016-03-06,9.82986111111111
2016-03-07,11.125694444444445
2016-03-08,10.875
2016-03-09,10.794444444444444
2016-03-10,10.772222222222222
2016-03-11,10.72638888888889
2016-03-12,9.754861111111111
2016-03-13,NA
2016-03-14,10.870138888888889
2016-03-15,10.820833333333333
2016-03-16,10.590972222222222
2016-03-17,10.736805555555556
2016-03-18,10.628472222222221
2016-03-19,10.613194444444444
2016-03-20,10.215972222222222
2016-03-21,10.459027777777777
2016-03-22,11.027777777777779
2016-03-23,11.936805555555555
2016-03-24,13.45138888888889
2016-03-25,13.583333333333334
2016-03-26,13.852083333333333
2016-03-27,14.980555555555556
2016-03-28,17.35972222222222
2016-03-29,19.5625
2016-03-30,20.396527777777777
2016-03-31,17.945833333333333
2016-04-01,18.519444444444446
2016-04-02,19.188194444444445
2016-04-03,19.21666666666667
2016-04-04,19.285416666666666
2016-04-05,19.867361111111112
2016-04-06,21.31388888888889
2016-04-07,19.34722222222222
2016-04-08,17.67152777777778
2016-04-09,17.2125
2016-04-10,20.34375
2016-04-11,20.136805555555554
2016-04-12,18.640277777777776
2016-04-13,19.090579710144926
2016-04-14,18.755208333333332
2016-04-15,18.79340277777778
