Date,SM_5,SM_40,SM_50,Ts_C
2016-03-01,0.33880952380952384,0.5112380952380953,0.5264761904761905,0.5023809523809524
2016-03-02,0.3415416666666667,0.5163958333333334,0.52953125,0.5
2016-03-03,0.3442395833333333,0.518,0.5311354166666667,0.5072916666666667
2016-03-04,0.34528125,0.51765625,0.531,0.5927083333333333
2016-03-05,0.3464791666666666,0.51659375,0.531,0.6
2016-03-06,0.34742708333333333,0.5162083333333334,0.5313125000000001,0.653125
2016-03-07,0.34832291666666665,0.5165,0.5324479166666667,0.7
2016-03-08,0.349,0.51684375,0.533,0.7020833333333333
2016-03-09,0.34909375,0.51715625,0.5333541666666667,0.715625
2016-03-10,0.3499791666666666,0.5173958333333334,0.5346458333333334,0.7635416666666667
2016-03-11,0.35216666666666663,0.5261979166666667,0.54,0.7791666666666667
2016-03-12,0.364375,0.544625,0.5473020833333334,0.7114583333333333
2016-03-13,0.366,0.5391250000000001,0.5469895833333334,0.7583333333333333
2016-03-14,0.36685416666666665,0.5360416666666667,0.5469583333333333,0.7885416666666667
2016-03-15,0.3678958333333333,0.5352083333333334,0.547,0.7989583333333333
2016-03-16,0.36878125,0.5346875,0.547,0.8
2016-03-17,0.36933333333333335,0.5344895833333334,0.5474687500000001,0.7989583333333333
2016-03-18,0.370125,0.5349375000000001,0.548,0.796875
2016-03-19,0.3708958333333333,0.535,0.548,0.7989583333333333
2016-03-20,0.3704375,0.535,0.548,0.8
2016-03-21,0.37026041666666665,0.535,0.548,0.8
2016-03-22,0.3702083333333333,0.535,0.5483020833333334,0.8
2016-03-23,0.3698958333333333,0.5350104166666667,0.5495000000000001,0.8
2016-03-24,0.36915625,0.5358229166666667,0.55,0.8
2016-03-25,0.36802083333333335,0.5359895833333334,0.55009375,0.8
2016-03-26,0.3666145833333333,0.5359895833333334,0.5511354166666668,0.8
2016-03-27,0.36551041666666667,0.536,0.5519895833333334,0.8
2016-03-28,0.36415625,0.5359791666666667,0.552,0.8
2016-03-29,0.36304166666666665,0.5358645833333333,0.552,0.8
2016-03-30,0.36222916666666666,0.5350729166666667,0.552,0.7989583333333333
2016-03-31,0.36265625,0.535,0.552,0.8
2016-04-01,0.36301041666666667,0.535,0.552,0.8
2016-04-02,0.36343749999999997,0.5352604166666667,0.5522083333333334,0.8
2016-04-03,0.37033333333333335,0.5446458333333334,0.5544791666666667,0.7989583333333333
2016-04-04,0.42659375,0.5728749999999999,0.5580520833333333,0.709375
2016-04-05,0.46397916666666666,0.5747083333333333,0.5608854166666667,0.640625
2016-04-06,0.44956250000000003,0.5763333333333333,0.5533229166666667,0.7
2016-04-07,0.5062916666666667,0.5757395833333333,0.56040625,0.684375
2016-04-08,0.7440833333333333,0.576125,0.56584375,0.50625
2016-04-09,0.7883854166666667,0.5758749999999999,0.5648645833333332,0.5177083333333333
2016-04-10,0.8262916666666666,0.5751666666666666,0.5649895833333333,0.59375
2016-04-11,0.8258229166666666,0.576,0.565,0.6
2016-04-12,0.8143854166666666,0.5747812499999999,0.5661770833333333,0.584375
2016-04-13,0.7749479166666666,0.57165625,0.5676145833333333,0.5020833333333333
2016-04-14,0.7229270833333333,0.5698229166666666,0.5653020833333333,0.48333333333333334
2016-04-15,0.7421770833333333,0.5688958333333333,0.5675,0.4552083333333333
2016-04-16,0.8642395833333333,0.5701354166666667,0.5689375,0.5
2016-04-17,0.8764583333333333,0.5716458333333333,0.5688333333333333,0.5
2016-04-18,0.8851458333333333,0.57046875,0.5686354166666666,0.5
2016-04-19,0.8858541666666667,0.57,0.567375,0.5
2016-04-20,0.88628125,0.56909375,0.5679791666666666,0.5
2016-04-21,0.8885625,0.5686145833333333,0.5682499999999999,0.5
2016-04-22,0.8219583333333333,0.5674479166666666,0.5693125,0.5
2016-04-23,0.6596041666666667,0.5678645833333332,0.5700833333333333,0.5
2016-04-24,0.7277916666666667,0.5659479166666667,0.5698854166666666,0.5
2016-04-25,0.7883958333333333,0.5652291666666666,0.5692708333333333,0.5
2016-04-26,0.73571875,0.56565625,0.5696249999999999,0.5
2016-04-27,0.7819270833333334,0.565,0.569,0.5
2016-04-28,0.7812395833333333,0.565,0.569,0.5
2016-04-29,0.77127083333333335,0.565,0.569,0.5
2016-04-30,0.7631145833333334,0.5654166666666666,0.569,0.5
2016-05-01,0.7548854166666666,0.5666458333333333,0.569,0.5
2016-05-02,0.7461666666666666,0.5675625,0.569,0.5
2016-05-03,0.7117083333333333,0.5692395833333332,0.5698229166666666,0.5
2016-05-04,0.72990625,0.570375,0.5690625,0.49895833333333334
2016-05-05,0.9022395833333333,0.5716770833333333,0.5620625,0.39166666666666666
2016-05-06,0.9450104166666666,0.5757291666666666,0.5644895833333333,0.36458333333333337
2016-05-07,0.94075,0.5766770833333333,0.5644479166666666,0.39895833333333336
2016-05-08,0.9994791666666666,0.57509375,0.5644791666666666,0.5
2016-05-09,0.9876041666666666,0.5726249999999999,0.5667291666666666,0.5
2016-05-10,0.9448229166666666,0.5723020833333333,0.57109375,0.5041666666666667
2016-05-11,0.9012916666666667,0.5729583333333332,0.5719479166666667,0.503125
2016-05-12,0.922125,0.5734895833333333,0.5704479166666666,0.5
2016-05-13,0.9759375,0.57565625,0.5643125,0.49375
2016-05-14,0.95609375,0.5764791666666667,0.5645520833333333,0.4583333333333333
2016-05-15,0.94509375,0.577375,0.5633125,0.4510416666666667
2016-05-16,0.9496354166666666,0.5764791666666667,0.5628125,0.5270833333333333
2016-05-17,0.9614270833333333,0.577,0.5644895833333333,0.6
