Date,Stage_cm,Discharge_Ls,Q_mm
2017-06-28,21.261538461538464,0.5578321682621403,0.016019111023980098
2017-06-29,21.338541666666668,0.5750431136682619,0.016513352950090678
2017-06-30,21.477083333333336,0.6063557158950739,0.017412548227917168
2017-07-01,20.99791666666667,0.50937399319593335,0.014627551105835955
2017-07-02,20.802083333333336,0.4705554084209869,0.013512808617533574
2017-07-03,20.76666666666667,0.4639655864787161,0.01332357053603253
2017-07-04,20.503125,0.42180497637765124,0.012112856037168567
2017-07-05,20.142708333333335,0.36974415717841347,0.01061783999076509
2017-07-06,19.846875,0.3268765856843207,0.0093868238784609
2017-07-07,19.786458333333336,0.3187910152719192,0.00915463280469765
2017-07-08,19.58229166666667,0.2951713364368919,0.008476353065492558
2017-07-09,19.240625,0.2575920043551576,0.007397197851658727
2017-07-10,18.973958333333336,0.23023941978396084,0.0066117212980138325
2017-07-11,19.028125000000003,0.23561454200240348,0.006766077185830311
2017-07-12,19.136458333333337,0.245681570573522,0.007055169241716457
2017-07-13,19.057291666666668,0.2394816838972231,0.006877128822654327
2017-07-14,18.559375000000003,0.19510168246133466,0.005602680680911793
2017-07-15,18.277083333333334,0.17288115651781738,0.004964580025638788
2017-07-16,18.223958333333336,0.17000172197364438,0.004881892105734329
2017-07-17,18.083333333333336,0.15916651747933508,0.004570740555793051
2017-07-18,17.99791666666667,0.15341520519358837,0.0044055817225798636
2017-07-19,17.708333333333336,0.13542635181506155,0.0038890008298671573
2017-07-20,17.658333333333335,0.13233958871052004,0.003800359113434018
2017-07-21,17.765625,0.1385791061123059,0.003979537597003101
2017-07-22,18.077083333333334,0.16021797376055463,0.0046009349329982786
2017-07-23,17.708333333333336,0.13511457045602096,0.0038800474914083196
2017-07-24,17.555208333333336,0.12754912864344253,0.003662792805794341
2017-07-25,17.541666666666668,0.12502869612318845,0.0035904142470314366
2017-07-26,18.646875,0.20576288579197632,0.005908835487894025
2017-07-27,19.710416666666667,0.3322587723066437,0.009541382632796228
2017-07-28,19.283333333333335,0.2656479292131933,0.007628537602293316
2017-07-29,19.027083333333334,0.23557111582796414,0.006764830128472796
2017-07-30,18.830208333333335,0.21823802677351128,0.0062670806372291605
2017-07-31,18.413541666666667,0.1845416852129221,0.005299432180807815
2017-08-01,17.945833333333336,0.15073923921612525,0.0043287367528411684
2017-08-02,18.291666666666668,0.17790101954375434,0.005108734034161058
2017-08-03,19.460416666666667,0.28426054941422363,0.008163031033133553
2017-08-04,18.89166666666667,0.22433422113739643,0.006442143353033221
2017-08-05,18.839583333333337,0.218460247190868,0.006273462079067702
2017-08-06,19.231250000000003,0.2553903957833013,0.007333974871431924
2017-08-07,20.189583333333335,0.3751955140758084,0.010774385088626265
2017-08-08,19.984375000000004,0.3450015245107201,0.009907312699081402
2017-08-09,19.877083333333335,0.3298004347374977,0.009470787237451324
2017-08-10,22.054166666666667,1.1738239397901253,0.033708375177939585
2017-08-11,22.945833333333333,1.0272766188835383,0.029500016575776153
2017-08-12,21.86354166666667,0.694894970614795,0.019955105348196323
2017-08-13,21.373958333333334,0.5811313064501964,0.016688185886694244
2017-08-14,21.387500000000003,0.5852636021260823,0.01680685187080583
2017-08-15,21.671875,0.6538900223416049,0.01877757766820044
2017-08-16,21.692708333333336,0.6599615028408795,0.0189519306828371
2017-08-17,20.78541666666667,0.4711420807892042,0.013529655924547893
2017-08-18,20.280208333333334,0.38841028076890416,0.011153869863540174
2017-08-19,19.808333333333334,0.3256602810825545,0.009351895597943534
2017-08-20,19.368750000000002,0.27019934971218434,0.00775923947722695
2017-08-21,19.31354166666667,0.26459460996872763,0.00759828972689137
2017-08-22,19.258333333333336,0.25794647243190394,0.007407377012701997
2017-08-23,19.26875,0.2590245967730878,0.007438337209158369
2017-08-24,19.127083333333335,0.24523618269090797,0.007042379161928555
2017-08-25,18.928125,0.22612425394409147,0.0064935472266326
2017-08-26,18.697916666666668,0.2058656547419777,0.005911786675210847
2017-08-27,18.386458333333334,0.1807975809173268,0.005191913780455691
2017-08-28,18.269791666666666,0.1721726357738657,0.004944233632752351
2017-08-29,18.059375000000003,0.15725537705583767,0.004515858868489505
2017-08-30,17.991666666666667,0.15241636775241274,0.004376898385950231
2017-08-31,18.136458333333337,0.16184056510252623,0.004647530436686365
2017-09-01,18.033333333333335,0.1556359145959894,0.004469353216037985
2017-09-02,17.838541666666668,0.14290161285151276,0.004103665819247749
2017-09-03,17.665625000000002,0.13258606763715547,0.0038074371801277073
2017-09-04,17.520833333333336,0.12455935792298437,0.003576936392643284
2017-09-05,17.645833333333336,0.13092776049724958,0.0037598160358169185
2017-09-06,17.70416666666667,0.13479913024764165,0.0038709890827919825
2017-09-07,17.548958333333335,0.12584675631191367,0.0036139062536475358
2017-09-08,17.589583333333334,0.1277343409313183,0.00366811149548506
2017-09-09,17.63125,0.1300134728483618,0.0037335606920259443
2017-09-10,17.665625000000002,0.1319493794682317,0.003789153583293522
2017-09-11,17.727083333333336,0.13602822065493447,0.0039062845297259076
2017-09-12,17.54479166666667,0.12547919224200743,0.0036033510186158284
2017-09-13,17.411458333333336,0.11806742873504913,0.0033905094701061067
2017-09-14,18.387500000000003,0.19310293756730573,0.0055452832804251725
2017-09-15,18.628125,0.20092353902492466,0.005769865314505763
2017-09-16,18.65625,0.20259999393354394,0.005818007603236678
2017-09-17,18.76979166666667,0.21162977567206995,0.006077313330696595
2017-09-18,18.431250000000002,0.18525844740321556,0.005320015241013669
2017-09-19,18.09166666666667,0.1594698067937567,0.004579450030571535
