Reading,Receive,Value,Unit,Data Quality
2021-10-13 02:32:53,2021-10-13 02:33:20,2.83,ft,A
2021-10-13 02:17:54,2021-10-13 02:18:05,2.83,ft,A
2021-10-13 02:02:53,2021-10-13 02:03:20,2.80,ft,A
2021-10-13 01:47:53,2021-10-13 01:48:20,2.80,ft,A
2021-10-13 01:32:54,2021-10-13 01:33:20,2.76,ft,A
2021-10-13 01:17:53,2021-10-13 01:18:05,2.76,ft,A
2021-10-13 01:02:53,2021-10-13 01:03:20,2.76,ft,A
2021-10-13 00:47:56,2021-10-13 00:48:20,2.76,ft,A
2021-10-13 00:32:53,2021-10-13 00:33:20,2.80,ft,A
2021-10-13 00:17:53,2021-10-13 00:18:20,2.80,ft,A
2021-10-13 00:02:53,2021-10-13 00:03:20,2.80,ft,A
2021-10-12 23:47:53,2021-10-12 23:48:20,2.83,ft,A
2021-10-12 23:47:52,2021-10-12 23:48:05,2.83,ft,A
2021-10-12 23:32:52,2021-10-12 23:33:20,2.83,ft,A
2021-10-12 23:17:54,2021-10-12 23:18:20,2.83,ft,A
2021-10-12 23:02:52,2021-10-12 23:03:20,2.83,ft,A
2021-10-12 22:47:52,2021-10-12 22:48:20,2.83,ft,A
2021-10-12 22:32:57,2021-10-12 22:33:05,2.86,ft,A
2021-10-12 22:17:52,2021-10-12 22:18:20,2.86,ft,A
2021-10-12 22:02:52,2021-10-12 22:03:20,2.86,ft,A
2021-10-12 21:47:52,2021-10-12 21:48:20,2.86,ft,A
2021-10-12 21:32:52,2021-10-12 21:33:20,2.86,ft,A
2021-10-12 21:17:52,2021-10-12 21:18:20,2.83,ft,A
2021-10-12 21:02:54,2021-10-12 21:03:05,2.83,ft,A
2021-10-12 20:47:52,2021-10-12 20:48:20,2.83,ft,A
2021-10-12 20:32:52,2021-10-12 20:33:20,2.83,ft,A
2021-10-12 20:17:52,2021-10-12 20:18:05,2.83,ft,A
2021-10-12 20:02:55,2021-10-12 20:03:05,2.83,ft,A
2021-10-12 19:47:52,2021-10-12 19:48:20,2.83,ft,A
2021-10-12 19:32:52,2021-10-12 19:33:05,2.83,ft,A
2021-10-12 19:17:52,2021-10-12 19:18:20,2.83,ft,A
2021-10-12 19:02:54,2021-10-12 19:03:20,2.80,ft,A
2021-10-12 18:47:52,2021-10-12 18:48:05,2.80,ft,A
2021-10-12 18:32:55,2021-10-12 18:33:05,2.80,ft,A
2021-10-12 18:17:52,2021-10-12 18:18:20,2.80,ft,A
2021-10-12 18:02:52,2021-10-12 18:03:20,2.80,ft,A
2021-10-12 17:47:54,2021-10-12 17:48:20,2.80,ft,A
2021-10-12 17:32:52,2021-10-12 17:33:20,2.76,ft,A
2021-10-12 17:17:53,2021-10-12 17:18:20,2.76,ft,A
2021-10-12 17:02:55,2021-10-12 17:03:20,2.76,ft,A
2021-10-12 17:02:54,2021-10-12 17:03:05,2.76,ft,A
2021-10-12 16:47:52,2021-10-12 16:48:05,2.80,ft,A
2021-10-12 16:32:52,2021-10-12 16:33:20,2.80,ft,A
2021-10-12 16:17:52,2021-10-12 16:18:05,2.80,ft,A
2021-10-12 16:02:52,2021-10-12 16:03:20,2.80,ft,A
2021-10-12 15:47:54,2021-10-12 15:48:05,2.80,ft,A
2021-10-12 15:32:52,2021-10-12 15:33:20,2.80,ft,A
2021-10-12 15:17:52,2021-10-12 15:18:20,2.80,ft,A
2021-10-12 15:02:52,2021-10-12 15:03:20,2.80,ft,A
2021-10-12 14:47:54,2021-10-12 14:48:20,2.76,ft,A
2021-10-12 14:32:55,2021-10-12 14:33:20,2.80,ft,A
2021-10-12 14:17:52,2021-10-12 14:18:20,2.80,ft,A
2021-10-12 14:02:52,2021-10-12 14:03:20,2.83,ft,A
2021-10-12 13:47:54,2021-10-12 13:48:20,2.80,ft,A
2021-10-12 13:32:52,2021-10-12 13:33:20,2.80,ft,A
2021-10-12 13:17:52,2021-10-12 13:18:20,2.83,ft,A
2021-10-12 13:02:52,2021-10-12 13:03:20,2.83,ft,A
2021-10-12 12:47:52,2021-10-12 12:48:05,2.83,ft,A
2021-10-12 12:32:52,2021-10-12 12:33:05,2.83,ft,A
2021-10-12 12:17:54,2021-10-12 12:18:20,2.86,ft,A
2021-10-12 12:02:53,2021-10-12 12:03:20,2.83,ft,A
2021-10-12 11:47:53,2021-10-12 11:48:20,2.83,ft,A
2021-10-12 11:47:52,2021-10-12 11:48:05,2.83,ft,A
2021-10-12 11:32:55,2021-10-12 11:33:05,2.83,ft,A
2021-10-12 11:17:53,2021-10-12 11:18:05,2.86,ft,A
2021-10-12 11:02:53,2021-10-12 11:03:05,2.86,ft,A
2021-10-12 10:47:55,2021-10-12 10:48:05,2.86,ft,A
2021-10-12 10:32:52,2021-10-12 10:33:20,2.86,ft,A
2021-10-12 10:17:55,2021-10-12 10:18:05,2.86,ft,A
2021-10-12 10:02:53,2021-10-12 10:03:05,2.90,ft,A
2021-10-12 09:47:53,2021-10-12 09:48:05,2.90,ft,A
2021-10-12 09:32:53,2021-10-12 09:33:20,2.86,ft,A
2021-10-12 09:17:56,2021-10-12 09:18:20,2.90,ft,A
2021-10-12 09:02:53,2021-10-12 09:03:05,2.90,ft,A
2021-10-12 08:47:53,2021-10-12 08:48:20,2.90,ft,A
2021-10-12 08:32:53,2021-10-12 08:33:05,2.90,ft,A
