Name,Type,Latitude,Longitude,Region,Burn_status,Snow_zone,Sensor_model,Sensor_install,Sensor_remove,Comments
dry,VWC_5,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-TM,2016-09-18,2020-06-23,burned in Cameron Peak Fire
dry,VWC_20,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-5,2016-09-18,2020-06-23,burned in Cameron Peak Fire
dry,VWC_40,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-5,2016-09-18,2020-06-23,burned in Cameron Peak Fire
dry,VWC_50,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-5,2016-09-18,2020-06-23,burned in Cameron Peak Fire
dry,stream,40.70631594,-105.6392187,frontrange,burned_2020,intermittent,RuggedTroll,2016-09-18,still running,
dry,stream,40.70631594,-105.6392187,frontrange,burned_2020,intermittent,WT-HR1000,2017-07-05,2020-06-23,burned in Cameron Peak Fire
dry,stream,40.70631594,-105.6392187,frontrange,burned_2020,intermittent,WT-HR1000,2021-06-14,still running,
dry,baro,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,RuggedTroll,2016-09-18,2020-06-23,burned in Cameron Peak Fire
dry,baro,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,RuggedTroll,2020-11-25,still running,
dry,rain,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,TE525,2021-05-18,still running,
dry,VWC_5,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-5,2020-11-25,still running,
dry,VWC_20,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-5,2020-11-25,still running,
dry,VWC_50,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,EC-5,2020-11-25,still running,
dry,Ts_5,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,TCAV,2021-01-28,still running,
dry,Ta,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,,2021-01-28,still running,
dry,RH,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,,2021-01-28,still running,
dry,u,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,041a,2021-01-28,still running,
dry,snow,40.70672394,-105.6393929,frontrange,burned_2020,intermittent,SR50A,2021-01-28,still running,
drytrib,stream,40.70744623,-105.6385486,frontrange,burned_2020,intermittent,RuggedTroll,,,
dadd,rain,40.69736392,-105.5401549,frontrange,unburned,intermittent,TE525,2017-07-19,still running,
dadd,stream,40.69748204,-105.5396808,frontrange,burned_2020,intermittent,WT-HR1000,2017-03-23,still running,
skin,rain,40.67621594,-105.3882298,frontrange,burned_2012,intermittent,Rainwise,2018-04-30,still running,
skin,stream,40.67623288,-105.3881284,frontrange,burned_2012,intermittent,WT-HR1000,2015-10-01,still running,
hewlett,stream,40.69161335,-105.3109516,frontrange,burned_2012,intermittent,WT-HR1000,2017-06-08,still running,
hill,stream,40.6833461,-105.3024869,frontrange,burned_2012,intermittent,WT-HR1000,2015-10-01,still running,
greyrock,rain,40.69596824,-105.2896858,frontrange,unburned,intermittent,Rainwise,2018-05-11,still running,
greyrock,stream,40.69569663,-105.2940703,frontrange,unburned,intermittent,WT-HR1000,2017-06-28,still running,
mill,snow,40.55879721,-105.17974499,frontrange,unburned,intermittent,camera,2015-10-26,still running,
mill,rain,40.55879721,-105.17974499,frontrange,unburned,intermittent,TE525,2015-10-22,2021-08-13,gauge was tipped about 10 deg off center; data since 10/2020 may be affected
mill,Ta,40.55879721,-105.17974499,frontrange,unburned,intermittent,ECT,2015-10-22,2020-04-07,logger stopped working
mill,Ts_5,40.55879721,-105.17974499,frontrange,unburned,intermittent,EC-TM,2015-10-22,2020-04-07,logger stopped working
mill,VWC_5,40.55879721,-105.17974499,frontrange,unburned,intermittent,EC-TM,2015-10-22,2020-04-07,logger stopped working
mill,VWC_20,40.55879721,-105.17974499,frontrange,unburned,intermittent,EC-5,2015-10-22,2020-04-07,logger stopped working
mill,VWC_50,40.55879721,-105.17974499,frontrange,unburned,intermittent,EC-5,2015-10-22,2020-04-07,logger stopped working
mill,stream,40.55972589,-105.17301802,frontrange,unburned,intermittent,WT-HR1000,,still running,
mill,stream,40.55972589,-105.17301802,frontrange,unburned,intermittent,RuggedTroll,2015-10-25,still running,
mill,baro,40.55879721,-105.17974499,frontrange,unburned,intermittent,RuggedTroll,2015-01-01,still running,
bighorn,rain,40.407387,-105.59248,frontrange,unburned,intermittent,Rainwise,2017-04-03,2018-09-25,problems with sensor getting disturbed by animals; latter part of data record lost; probably don't use any data
bighorn,snow,40.407395,-105.592531,frontrange,unburned,intermittent,camera,2016-02-18,2018-12-25,
bighorn,Ta,40.407357,-105.592487,frontrange,unburned,intermittent,HMP45C,2016-02-18,2020-08-16,
bighorn,Ts_5,40.407357,-105.592487,frontrange,unburned,intermittent,SM150,2016-02-18,2020-08-16,
bighorn,Ts_20,40.407357,-105.592487,frontrange,unburned,intermittent,SM150,2016-02-18,2020-08-16,
bighorn,Ts_50,40.407357,-105.592487,frontrange,unburned,intermittent,SM150,2016-02-18,2020-08-16,
bighorn,baro,,,frontrange,unburned,intermittent,RuggedTroll,2016-02-18,2020-08-16,removed all sensors
bighorn,baro,40.407357,-105.592487,frontrange,unburned,intermittent,U2,2020-12-18,still running,
bighorn,stream,,,frontrange,unburned,intermittent,RuggedTroll,2016-02-18,2020-08-16,
bighorn,stream,40.410026,-105.594516,frontrange,unburned,intermittent,U2,2020-12-18,still running,
monument,rain,,,grandvalley,unburned,intermittent,Rainwise,,,
monument,snow,,,grandvalley,unburned,intermittent,camera,,,
monument,Ts_5,,,grandvalley,unburned,intermittent,EC-TM,,,
monument,VWC_5,,,grandvalley,unburned,intermittent,,,,
monument,VWC_40,,,grandvalley,unburned,intermittent,,,,
monument,VWC_50,,,grandvalley,unburned,intermittent,,,,
monument,baro,,,grandvalley,unburned,intermittent,RuggedTroll,,,
monument,stream,,,grandvalley,unburned,intermittent,RuggedTroll,,,
gm_persistent,rain,,,grandvalley,unburned,persistent,Rainwise,,,
gm_persistent,snow,,,grandvalley,unburned,persistent,camera,,,
gm_persistent,Ts_5,,,grandvalley,unburned,persistent,EC-TM,,,
gm_persistent,VWC_5,,,grandvalley,unburned,persistent,EC-TM,,,
gm_persistent,VWC_40,,,grandvalley,unburned,persistent,EC-5,,,
gm_persistent,VWC_50,,,grandvalley,unburned,persistent,EC-5,,,
gm_persistent,stream,,,grandvalley,unburned,persistent,WT-HR1000,,,
gm_transitional,rain,,,grandvalley,unburned,transitional,Rainwise,,,
gm_transitional,snow,,,grandvalley,unburned,transitional,camera,,,
gm_transitional,Ts_5,,,grandvalley,unburned,transitional,EC-TM,,,
gm_transitional,VWC_5,,,grandvalley,unburned,transitional,EC-TM,,,
gm_transitional,VWC_40,,,grandvalley,unburned,transitional,EC-5,,,
gm_transitional,VWC_50,,,grandvalley,unburned,transitional,EC-5,,,
gm_transitional,stream,,,grandvalley,unburned,transitional,WT-HR1000,,,
andrews,Ts_5,,,frontrange,unburned,persistent,EC-TM,2016-03-01,2018-07-31,
andrews,VWC_5,,,frontrange,unburned,persistent,EC-TM,2016-03-01,2018-07-31,
andrews,VWC_40,,,frontrange,unburned,persistent,EC-5,2016-03-01,2018-07-31,
andrews,VWC_50,,,frontrange,unburned,persistent,EC-5,2016-03-01,2018-07-31,
u_w,stream,40.66039395,-105.560857,frontrange,burned_2020,,WT-HR1000,2021-07-19,still running,Caprod belongs to RMRS
u_w,rain,40.66005439,-105.5578187,frontrange,burned_2020,,Rainwise,2021-07-19,still running,
u_m,stream,40.65766455,-105.5555571,frontrange,burned_2020,,WT-HR1000,2021-07-26,still running,Caprod belongs to RMRS
u_m,rain,40.65882344,-105.5534331,frontrange,burned_2020,,Rainwise,2021-07-26,still running,
u_e,stream,40.6573273,-105.5454499,frontrange,burned_2020,,WT-HR1000,2021-07-26,still running,Caprod belongs to RMRS
u_e,rain,40.65742355,-105.5461262,frontrange,burned_2020,,Rainwise,2021-09-06,still running,
m_w,stream,40.65478438,-105.5397333,frontrange,burned_2020,,WT-HR1000,2021-07-26,still running,Caprod belongs to RMRS
m_w,rain,,,frontrange,burned_2020,,Rainwise,2021-08-20,still running,
m_m,stream,40.65315058,-105.5335843,frontrange,burned_2020,,WT-HR1000,2021-07-26,still running,Caprod belongs to RMRS
m_m,rain,40.65306229,-105.533893,frontrange,burned_2020,,Rainwise,2021-09-06,still running,
m_e,stream,40.64588047,-105.5324039,frontrange,burned_2020,,WT-HR1000,2021-07-19,still running,Caprod belongs to RMRS
m_e,rain,40.64609596,-105.5329463,frontrange,burned_2020,,Rainwise,2021-07-19,still running,
