Date,P_in
8/25/2010,0
8/26/2010,0
8/27/2010,0
8/28/2010,0.22
8/29/2010,0
8/30/2010,0.01
8/31/2010,0
9/1/2010,0
9/2/2010,0
9/3/2010,0
9/4/2010,0
9/5/2010,0
9/6/2010,0
9/7/2010,0
9/8/2010,0.44
9/9/2010,0
9/10/2010,0
9/11/2010,0
9/12/2010,0
9/13/2010,0
9/14/2010,0
9/15/2010,0
9/16/2010,0
9/17/2010,0
9/18/2010,0
9/19/2010,0
9/20/2010,0.04
9/21/2010,0
9/22/2010,0.36
9/23/2010,0.25
9/24/2010,0
9/25/2010,0
9/26/2010,0
9/27/2010,0
9/28/2010,0
9/29/2010,0
9/30/2010,0
10/1/2010,0
10/2/2010,0
10/3/2010,0
10/4/2010,0
10/5/2010,0.04
10/6/2010,0.15
10/7/2010,0.1
10/8/2010,0.31
10/9/2010,0.07
10/10/2010,0.07
10/11/2010,0
10/12/2010,0.52
10/13/2010,0
10/14/2010,0
10/15/2010,0
10/16/2010,0
10/17/2010,0
10/18/2010,0.56
10/19/2010,0
10/20/2010,0
10/21/2010,0.02
10/22/2010,0.81
10/23/2010,0.17
10/24/2010,0.38
10/25/2010,0.85
10/26/2010,
10/27/2010,
10/28/2010,0
10/29/2010,0
10/30/2010,0.17
10/31/2010,0.07
11/1/2010,0.21
11/2/2010,0
11/3/2010,0
11/4/2010,0
11/5/2010,0
11/6/2010,0
11/7/2010,0.14
11/8/2010,0
11/9/2010,0.23
11/10/2010,0.06
11/11/2010,0.05
11/12/2010,0
11/13/2010,0.36
11/14/2010,0.29
11/15/2010,0.27
11/16/2010,1.11
11/17/2010,0.04
11/18/2010,0
11/19/2010,0
11/20/2010,0
11/21/2010,0.81
11/22/2010,0.38
11/23/2010,0.02
11/24/2010,0.58
11/25/2010,0.04
11/26/2010,0
11/27/2010,0
11/28/2010,0.07
11/29/2010,0.03
11/30/2010,0.08
12/1/2010,0.31
12/2/2010,0.02
12/3/2010,0.03
12/7/2010,0
12/8/2010,0
12/9/2010,0.03
12/10/2010,0.54
12/13/2010,0
12/14/2010,0
12/15/2010,0.71
12/16/2010,0
12/17/2010,0.07
12/18/2010,0.62
12/19/2010,1.05
12/20/2010,0.12
12/24/2010,0
12/25/2010,0
12/26/2010,0.01
12/27/2010,0.01
12/28/2010,0
12/29/2010,0.16
12/30/2010,0.11
12/31/2010,0.08
1/2/2011,0.06
1/3/2011,0.13
1/4/2011,0.02
1/5/2011,0.09
1/6/2011,0.01
1/7/2011,0
1/8/2011,0.12
1/9/2011,0.25
1/10/2011,0.05
1/11/2011,0.1
1/12/2011,0.07
1/13/2011,0.08
1/14/2011,0.01
1/15/2011,0.05
1/16/2011,0.56
1/17/2011,1.34
1/18/2011,0.29
