Reading,Receive,Value,Unit,Data Quality
2021-10-12 02:18:53,2021-10-12 02:19:05,0.64,ft,A
2021-10-12 01:48:53,2021-10-12 01:49:05,0.65,ft,A
2021-10-12 01:18:53,2021-10-12 01:19:01,0.65,ft,A
2021-10-12 00:48:53,2021-10-12 00:49:05,0.65,ft,A
2021-10-12 00:18:53,2021-10-12 00:19:05,0.65,ft,A
2021-10-11 23:48:53,2021-10-11 23:49:05,0.64,ft,A
2021-10-11 23:18:53,2021-10-11 23:19:05,0.64,ft,A
2021-10-11 22:48:52,2021-10-11 22:49:05,0.64,ft,A
2021-10-11 22:18:53,2021-10-11 22:19:05,0.65,ft,A
2021-10-11 21:58:53,2021-10-11 21:59:05,0.66,ft,A
2021-10-11 21:28:52,2021-10-11 21:29:05,0.66,ft,A
2021-10-11 20:58:53,2021-10-11 20:59:06,0.65,ft,A
2021-10-11 20:28:52,2021-10-11 20:29:05,0.65,ft,A
2021-10-11 19:58:52,2021-10-11 19:59:06,0.64,ft,A
2021-10-11 19:28:53,2021-10-11 19:29:05,0.67,ft,A
2021-10-11 18:58:52,2021-10-11 18:59:05,0.64,ft,A
2021-10-11 18:28:53,2021-10-11 18:29:05,0.66,ft,A
2021-10-11 17:58:52,2021-10-11 17:59:05,0.66,ft,A
2021-10-11 17:28:52,2021-10-11 17:29:05,0.66,ft,A
2021-10-11 16:58:53,2021-10-11 16:59:06,0.66,ft,A
2021-10-11 16:28:52,2021-10-11 16:29:05,0.66,ft,A
2021-10-11 15:58:53,2021-10-11 15:59:06,0.65,ft,A
2021-10-11 15:28:53,2021-10-11 15:29:05,0.64,ft,A
2021-10-11 14:58:52,2021-10-11 14:59:05,0.66,ft,A
2021-10-11 14:28:53,2021-10-11 14:29:05,0.64,ft,A
2021-10-11 13:58:52,2021-10-11 13:59:05,0.67,ft,A
2021-10-11 13:28:53,2021-10-11 13:29:05,0.67,ft,A
2021-10-11 12:58:53,2021-10-11 12:59:06,0.66,ft,A
2021-10-11 12:28:52,2021-10-11 12:29:05,0.66,ft,A
2021-10-11 11:58:53,2021-10-11 11:59:06,0.65,ft,A
2021-10-11 11:28:52,2021-10-11 11:29:05,0.66,ft,A
2021-10-11 10:58:53,2021-10-11 10:59:06,0.66,ft,A
2021-10-11 10:28:53,2021-10-11 10:29:05,0.66,ft,A
2021-10-11 09:58:52,2021-10-11 09:59:05,0.65,ft,A
2021-10-11 09:28:53,2021-10-11 09:29:05,0.68,ft,A
2021-10-11 08:58:52,2021-10-11 08:59:05,0.65,ft,A
2021-10-11 08:18:52,2021-10-11 08:19:05,0.66,ft,A
2021-10-11 07:48:53,2021-10-11 07:49:05,0.67,ft,A
2021-10-11 07:18:53,2021-10-11 07:19:05,0.66,ft,A
2021-10-11 06:48:52,2021-10-11 06:49:05,0.65,ft,A
2021-10-11 06:18:53,2021-10-11 06:19:05,0.66,ft,A
2021-10-11 05:48:52,2021-10-11 05:49:05,0.65,ft,A
2021-10-11 05:18:53,2021-10-11 05:19:05,0.68,ft,A
2021-10-11 04:48:53,2021-10-11 04:49:05,0.68,ft,A
2021-10-11 04:18:52,2021-10-11 04:19:05,0.66,ft,A
2021-10-11 03:48:53,2021-10-11 03:49:05,0.65,ft,A
2021-10-11 03:18:53,2021-10-11 03:19:05,0.66,ft,A
2021-10-11 02:48:53,2021-10-11 02:49:05,0.66,ft,A
2021-10-11 02:18:53,2021-10-11 02:19:05,0.63,ft,A
2021-10-11 01:48:52,2021-10-11 01:49:05,0.64,ft,A
2021-10-11 01:18:53,2021-10-11 01:19:05,0.63,ft,A
2021-10-11 00:48:53,2021-10-11 00:49:05,0.62,ft,A
2021-10-11 00:18:53,2021-10-11 00:19:05,0.55,ft,A
2021-10-10 23:48:53,2021-10-10 23:49:05,0.55,ft,A
2021-10-10 23:18:52,2021-10-10 23:19:05,0.54,ft,A
2021-10-10 22:48:53,2021-10-10 22:49:05,0.55,ft,A
2021-10-10 22:18:53,2021-10-10 22:19:05,0.57,ft,A
2021-10-10 21:48:53,2021-10-10 21:49:05,0.54,ft,A
2021-10-10 21:18:53,2021-10-10 21:19:05,0.55,ft,A
2021-10-10 20:48:52,2021-10-10 20:49:05,0.56,ft,A
2021-10-10 20:18:53,2021-10-10 20:19:05,0.55,ft,A
2021-10-10 19:48:53,2021-10-10 19:49:05,0.57,ft,A
2021-10-10 19:18:53,2021-10-10 19:19:05,0.56,ft,A
2021-10-10 18:48:53,2021-10-10 18:49:05,0.56,ft,A
2021-10-10 18:18:52,2021-10-10 18:19:05,0.55,ft,A
2021-10-10 17:48:53,2021-10-10 17:49:05,0.59,ft,A
2021-10-10 17:18:53,2021-10-10 17:19:05,0.57,ft,A
2021-10-10 16:48:53,2021-10-10 16:49:05,0.57,ft,A
2021-10-10 16:18:53,2021-10-10 16:19:05,0.59,ft,A
2021-10-10 15:48:52,2021-10-10 15:49:05,0.59,ft,A
2021-10-10 15:18:53,2021-10-10 15:19:05,0.60,ft,A
2021-10-10 14:48:53,2021-10-10 14:49:05,0.57,ft,A
2021-10-10 14:18:53,2021-10-10 14:19:05,0.55,ft,A
2021-10-10 13:48:53,2021-10-10 13:49:05,0.59,ft,A
2021-10-10 13:18:53,2021-10-10 13:19:06,0.57,ft,A
2021-10-10 12:48:53,2021-10-10 12:49:05,0.58,ft,A
2021-10-10 12:18:53,2021-10-10 12:19:05,0.58,ft,A
2021-10-10 11:48:53,2021-10-10 11:49:05,0.58,ft,A
2021-10-10 11:18:53,2021-10-10 11:19:05,0.57,ft,A
2021-10-10 10:48:53,2021-10-10 10:49:05,0.57,ft,A
2021-10-10 10:18:53,2021-10-10 10:19:05,0.58,ft,A
2021-10-10 09:48:53,2021-10-10 09:49:05,0.58,ft,A
2021-10-10 09:18:53,2021-10-10 09:19:05,0.58,ft,A
