Reading,Receive,Value,Unit,Data Quality
2021-10-10 14:00:34,2021-10-10 14:00:51,58.20,cfs,A
2021-10-10 13:01:06,2021-10-10 13:01:20,59.15,cfs,A
2021-10-10 12:01:08,2021-10-10 12:01:20,59.15,cfs,A
2021-10-10 11:00:36,2021-10-10 11:00:51,59.15,cfs,A
2021-10-10 09:58:40,2021-10-10 09:58:50,58.20,cfs,A
2021-10-10 08:57:57,2021-10-10 08:58:20,58.52,cfs,A
2021-10-10 08:57:56,2021-10-10 08:58:05,58.52,cfs,A
2021-10-10 08:01:16,2021-10-10 08:01:35,58.20,cfs,A
2021-10-10 07:01:06,2021-10-10 07:01:20,58.83,cfs,A
2021-10-10 06:00:13,2021-10-10 06:00:37,57.89,cfs,A
2021-10-10 04:59:48,2021-10-10 05:00:05,57.89,cfs,A
2021-10-10 04:00:12,2021-10-10 04:00:52,57.89,cfs,A
2021-10-10 02:59:04,2021-10-10 02:59:20,57.25,cfs,A
2021-10-10 01:58:36,2021-10-10 01:58:50,57.57,cfs,A
2021-10-10 01:02:13,2021-10-10 01:02:35,57.57,cfs,A
2021-10-09 23:58:53,2021-10-09 23:59:05,57.25,cfs,A
2021-10-09 23:00:12,2021-10-09 23:00:20,56.94,cfs,A
2021-10-09 21:59:44,2021-10-09 22:00:20,56.94,cfs,A
2021-10-09 21:02:13,2021-10-09 21:02:35,56.62,cfs,A
2021-10-09 19:58:08,2021-10-09 19:58:20,56.62,cfs,A
2021-10-09 18:58:24,2021-10-09 18:58:35,56.62,cfs,A
2021-10-09 18:01:37,2021-10-09 18:01:50,55.67,cfs,A
2021-10-09 17:00:21,2021-10-09 17:00:38,55.67,cfs,A
2021-10-09 15:57:59,2021-10-09 15:58:05,55.99,cfs,A
2021-10-09 15:00:14,2021-10-09 15:00:37,55.36,cfs,A
2021-10-09 13:58:24,2021-10-09 13:58:35,55.99,cfs,A
2021-10-09 12:58:49,2021-10-09 12:59:05,55.67,cfs,A
2021-10-09 12:01:10,2021-10-09 12:01:20,55.04,cfs,A
2021-10-09 11:00:23,2021-10-09 11:00:38,55.67,cfs,A
2021-10-09 10:00:57,2021-10-09 10:01:06,55.04,cfs,A
2021-10-09 09:00:50,2021-10-09 09:01:06,55.99,cfs,A
2021-10-09 09:00:49,2021-10-09 09:01:20,55.99,cfs,A
2021-10-09 08:00:42,2021-10-09 08:01:06,55.36,cfs,A
2021-10-09 06:58:05,2021-10-09 06:58:20,55.04,cfs,A
2021-10-09 05:59:36,2021-10-09 05:59:50,54.72,cfs,A
2021-10-09 05:01:09,2021-10-09 05:01:20,55.04,cfs,A
2021-10-09 03:59:21,2021-10-09 03:59:50,54.72,cfs,A
2021-10-09 03:00:47,2021-10-09 03:01:06,55.04,cfs,A
2021-10-09 01:58:53,2021-10-09 01:59:05,55.04,cfs,A
2021-10-09 01:00:53,2021-10-09 01:01:06,54.72,cfs,A
2021-10-08 23:59:08,2021-10-08 23:59:20,53.77,cfs,A
2021-10-08 23:01:47,2021-10-08 23:02:05,55.04,cfs,A
2021-10-08 22:02:31,2021-10-08 22:02:50,55.04,cfs,A
2021-10-08 20:58:32,2021-10-08 20:58:50,54.41,cfs,A
2021-10-08 20:01:30,2021-10-08 20:01:50,55.36,cfs,A
2021-10-08 18:59:20,2021-10-08 18:59:35,54.41,cfs,A
2021-10-08 17:59:51,2021-10-08 18:00:05,54.41,cfs,A
2021-10-08 16:57:57,2021-10-08 16:58:05,54.72,cfs,A
2021-10-08 15:59:31,2021-10-08 15:59:50,55.04,cfs,A
2021-10-08 14:59:32,2021-10-08 14:59:35,55.36,cfs,A
2021-10-08 14:02:36,2021-10-08 14:02:50,55.99,cfs,A
2021-10-08 12:59:47,2021-10-08 13:00:05,55.36,cfs,A
2021-10-08 12:02:14,2021-10-08 12:02:35,55.36,cfs,A
2021-10-08 11:01:09,2021-10-08 11:01:20,55.36,cfs,A
2021-10-08 09:59:27,2021-10-08 09:59:50,55.36,cfs,A
2021-10-08 09:02:15,2021-10-08 09:02:35,55.04,cfs,A
2021-10-08 08:00:11,2021-10-08 08:00:51,55.67,cfs,A
2021-10-08 07:01:36,2021-10-08 07:01:50,55.36,cfs,A
2021-10-08 06:01:53,2021-10-08 06:02:20,55.67,cfs,A
2021-10-08 05:01:49,2021-10-08 05:02:20,55.36,cfs,A
2021-10-08 04:00:08,2021-10-08 04:00:20,55.99,cfs,A
2021-10-08 03:00:26,2021-10-08 03:00:51,55.99,cfs,A
2021-10-08 01:59:04,2021-10-08 01:59:20,55.36,cfs,A
2021-10-08 01:00:46,2021-10-08 01:01:20,55.67,cfs,A
2021-10-08 00:01:28,2021-10-08 00:01:50,55.67,cfs,A
2021-10-07 22:58:54,2021-10-07 22:59:20,55.67,cfs,A
2021-10-07 21:58:38,2021-10-07 21:58:50,55.36,cfs,A
2021-10-07 20:59:59,2021-10-07 21:00:20,55.67,cfs,A
2021-10-07 20:01:21,2021-10-07 20:01:50,55.36,cfs,A
2021-10-07 18:57:58,2021-10-07 18:58:20,55.67,cfs,A
2021-10-07 17:59:29,2021-10-07 17:59:50,55.36,cfs,A
2021-10-07 17:00:30,2021-10-07 17:00:51,55.67,cfs,A
2021-10-07 14:58:19,2021-10-07 14:58:50,55.36,cfs,A
2021-10-07 13:59:06,2021-10-07 13:59:20,55.67,cfs,A
2021-10-07 12:58:43,2021-10-07 12:59:20,55.67,cfs,A
2021-10-07 12:01:22,2021-10-07 12:01:50,55.36,cfs,A
2021-10-07 10:59:37,2021-10-07 10:59:50,55.67,cfs,A
2021-10-07 10:00:24,2021-10-07 10:00:50,55.67,cfs,A
2021-10-07 08:58:52,2021-10-07 08:59:20,56.30,cfs,A
2021-10-07 08:01:38,2021-10-07 08:01:50,55.67,cfs,A
2021-10-07 06:58:07,2021-10-07 06:58:20,55.67,cfs,A
2021-10-07 06:00:42,2021-10-07 06:01:20,55.36,cfs,A
2021-10-07 05:01:31,2021-10-07 05:01:50,55.36,cfs,A
