DateTime,P_kPa,T_C
12/20/2020 1:45,78.381,0.343
12/20/2020 2:00,78.451,0.343
12/20/2020 2:15,78.411,0.343
12/20/2020 2:30,78.401,0.343
12/20/2020 2:45,78.124,0.343
12/20/2020 3:00,78.332,0.343
12/20/2020 3:15,78.263,0.343
12/20/2020 3:30,78.292,0.343
12/20/2020 3:45,78.362,0.343
12/20/2020 4:00,78.381,0.343
12/20/2020 4:15,78.401,0.343
12/20/2020 4:30,78.391,0.343
12/20/2020 4:45,78.381,0.343
12/20/2020 5:00,78.362,0.343
12/20/2020 5:15,78.371,0.343
12/20/2020 5:30,78.322,0.343
12/20/2020 5:45,78.401,0.343
12/20/2020 6:00,78.292,0.343
12/20/2020 6:15,78.332,0.343
12/20/2020 6:30,78.015,0.343
12/20/2020 6:45,78.213,0.343
12/20/2020 7:00,78.154,0.343
12/20/2020 7:15,77.897,0.343
12/20/2020 7:30,78.075,0.343
12/20/2020 7:45,78.085,0.343
12/20/2020 8:00,78.006,0.343
12/20/2020 8:15,77.976,0.343
12/20/2020 8:30,77.966,0.343
12/20/2020 8:45,78.018,0.453
12/20/2020 9:00,77.998,0.453
12/20/2020 9:15,78.048,0.453
12/20/2020 9:30,77.969,0.453
12/20/2020 9:45,78.028,0.453
12/20/2020 10:00,77.978,0.453
12/20/2020 10:15,77.988,0.453
12/20/2020 10:30,77.969,0.453
12/20/2020 10:45,77.971,0.563
12/20/2020 11:00,77.961,0.563
12/20/2020 11:15,77.912,0.563
12/20/2020 11:30,77.852,0.563
12/20/2020 11:45,77.813,0.563
12/20/2020 12:00,77.823,0.563
12/20/2020 12:15,77.773,0.563
12/20/2020 12:30,77.756,0.674
12/20/2020 12:45,77.746,0.674
12/20/2020 13:00,77.707,0.674
12/20/2020 13:15,77.697,0.674
12/20/2020 13:30,77.684,0.563
12/20/2020 13:45,77.642,0.453
12/20/2020 14:00,77.642,0.453
12/20/2020 14:15,77.692,0.453
12/20/2020 14:30,77.711,0.453
12/20/2020 14:45,77.672,0.453
12/20/2020 15:00,77.593,0.453
12/20/2020 15:15,77.504,0.453
12/20/2020 15:30,77.474,0.453
12/20/2020 15:45,77.425,0.453
12/20/2020 16:00,77.454,0.453
12/20/2020 16:15,77.464,0.453
12/20/2020 16:30,77.534,0.453
12/20/2020 16:45,77.583,0.453
12/20/2020 17:00,77.573,0.453
12/20/2020 17:15,77.583,0.453
12/20/2020 17:30,77.593,0.453
12/20/2020 17:45,77.623,0.453
12/20/2020 18:00,77.632,0.453
12/20/2020 18:15,77.682,0.453
12/20/2020 18:30,77.731,0.453
12/20/2020 18:45,77.721,0.453
12/20/2020 19:00,77.741,0.453
12/20/2020 19:15,77.771,0.453
12/20/2020 19:30,77.791,0.453
12/20/2020 19:45,77.768,0.343
12/20/2020 20:00,77.761,0.453
12/20/2020 20:15,77.781,0.453
12/20/2020 20:30,77.82,0.453
12/20/2020 20:45,77.847,0.343
12/20/2020 21:00,77.798,0.343
12/20/2020 21:15,77.808,0.343
12/20/2020 21:30,77.808,0.343
12/20/2020 21:45,77.837,0.343
12/20/2020 22:00,77.847,0.343
12/20/2020 22:15,77.877,0.343
12/20/2020 22:30,77.907,0.343
12/20/2020 22:45,77.907,0.343
12/20/2020 23:00,77.867,0.343
12/20/2020 23:15,77.877,0.343
12/20/2020 23:30,77.867,0.343
12/20/2020 23:45,77.857,0.343
12/21/2020 0:00,77.847,0.343
12/21/2020 0:15,77.857,0.343
12/21/2020 0:30,77.837,0.343
12/21/2020 0:45,77.818,0.343
12/21/2020 1:00,77.837,0.343
12/21/2020 1:15,77.828,0.343
12/21/2020 1:30,77.808,0.343
12/21/2020 1:45,77.768,0.343
12/21/2020 2:00,77.758,0.343
12/21/2020 2:15,77.758,0.343
12/21/2020 2:30,77.758,0.343
12/21/2020 2:45,77.729,0.343
12/21/2020 3:00,77.729,0.343
12/21/2020 3:15,77.699,0.343
12/21/2020 3:30,77.719,0.343
12/21/2020 3:45,77.699,0.343
12/21/2020 4:00,77.689,0.343
12/21/2020 4:15,77.699,0.343
12/21/2020 4:30,77.739,0.343
12/21/2020 4:45,77.768,0.343
12/21/2020 5:00,77.837,0.343
12/21/2020 5:15,77.818,0.343
12/21/2020 5:30,77.818,0.343
12/21/2020 5:45,77.837,0.343
12/21/2020 6:00,77.857,0.343
12/21/2020 6:15,77.857,0.343
12/21/2020 6:30,77.897,0.343
12/21/2020 6:45,77.907,0.343
12/21/2020 7:00,77.946,0.343
12/21/2020 7:15,77.956,0.343
12/21/2020 7:30,77.986,0.343
12/21/2020 7:45,77.986,0.343
12/21/2020 8:00,78.006,0.343
12/21/2020 8:15,78.055,0.343
12/21/2020 8:30,78.045,0.343
12/21/2020 8:45,78.055,0.343
12/21/2020 9:00,78.058,0.453
12/21/2020 9:15,78.048,0.453
12/21/2020 9:30,78.067,0.453
12/21/2020 9:45,78.087,0.453
12/21/2020 10:00,78.097,0.453
12/21/2020 10:15,78.097,0.453
12/21/2020 10:30,78.097,0.453
12/21/2020 10:45,78.107,0.453
12/21/2020 11:00,78.087,0.453
12/21/2020 11:15,78.077,0.453
12/21/2020 11:30,78.06,0.563
12/21/2020 11:45,78.08,0.563
12/21/2020 12:00,78.08,0.563
12/21/2020 12:15,78.11,0.563
12/21/2020 12:30,78.092,0.674
12/21/2020 12:45,78.082,0.674
12/21/2020 13:00,78.102,0.674
12/21/2020 13:15,78.073,0.674
12/21/2020 13:30,78.063,0.674
12/21/2020 13:45,78.09,0.563
12/21/2020 14:00,78.06,0.563
12/21/2020 14:15,78.09,0.563
12/21/2020 14:30,78.08,0.563
12/21/2020 14:45,78.067,0.453
12/21/2020 15:00,78.067,0.453
12/21/2020 15:15,78.048,0.453
12/21/2020 15:30,78.058,0.453
12/21/2020 15:45,78.028,0.453
12/21/2020 16:00,78.028,0.453
12/21/2020 16:15,78.038,0.453
12/21/2020 16:30,78.038,0.453
12/21/2020 16:45,78.058,0.453
12/21/2020 17:00,78.048,0.453
12/21/2020 17:15,78.058,0.453
12/21/2020 17:30,78.048,0.453
12/21/2020 17:45,78.008,0.453
12/21/2020 18:00,78.028,0.453
12/21/2020 18:15,78.018,0.453
12/21/2020 18:30,78.028,0.453
12/21/2020 18:45,78.048,0.453
12/21/2020 19:00,78.018,0.453
12/21/2020 19:15,78.038,0.453
12/21/2020 19:30,78.035,0.343
12/21/2020 19:45,78.008,0.453
12/21/2020 20:00,77.978,0.453
12/21/2020 20:15,77.956,0.343
12/21/2020 20:30,77.966,0.343
12/21/2020 20:45,77.946,0.343
12/21/2020 21:00,77.956,0.343
12/21/2020 21:15,77.936,0.343
12/21/2020 21:30,77.917,0.343
12/21/2020 21:45,77.897,0.343
12/21/2020 22:00,77.907,0.343
12/21/2020 22:15,77.907,0.343
12/21/2020 22:30,77.897,0.343
12/21/2020 22:45,77.897,0.343
12/21/2020 23:00,77.867,0.343
12/21/2020 23:15,77.847,0.343
12/21/2020 23:30,77.837,0.343
12/21/2020 23:45,77.808,0.343
12/22/2020 0:00,77.748,0.343
12/22/2020 0:15,77.729,0.343
12/22/2020 0:30,77.699,0.343
12/22/2020 0:45,77.689,0.343
12/22/2020 1:00,77.719,0.343
12/22/2020 1:15,77.689,0.343
12/22/2020 1:30,77.669,0.343
12/22/2020 1:45,77.659,0.343
12/22/2020 2:00,77.669,0.343
12/22/2020 2:15,77.65,0.343
12/22/2020 2:30,77.63,0.343
12/22/2020 2:45,77.61,0.343
12/22/2020 3:00,77.571,0.343
12/22/2020 3:15,77.531,0.343
12/22/2020 3:30,77.491,0.343
12/22/2020 3:45,77.452,0.343
12/22/2020 4:00,77.422,0.343
12/22/2020 4:15,77.422,0.343
12/22/2020 4:30,77.422,0.343
12/22/2020 4:45,77.402,0.343
12/22/2020 5:00,77.402,0.343
12/22/2020 5:15,77.363,0.343
12/22/2020 5:30,77.333,0.343
12/22/2020 5:45,77.284,0.343
12/22/2020 6:00,77.313,0.343
12/22/2020 6:15,77.304,0.343
12/22/2020 6:30,77.333,0.343
12/22/2020 6:45,77.304,0.343
12/22/2020 7:00,77.304,0.343
12/22/2020 7:15,77.313,0.343
12/22/2020 7:30,77.333,0.343
12/22/2020 7:45,77.313,0.343
12/22/2020 8:00,77.264,0.343
12/22/2020 8:15,77.215,0.343
12/22/2020 8:30,77.205,0.343
12/22/2020 8:45,77.155,0.343
12/22/2020 9:00,77.145,0.343
12/22/2020 9:15,77.126,0.343
12/22/2020 9:30,77.086,0.343
12/22/2020 9:45,77.056,0.343
12/22/2020 10:00,77.037,0.343
12/22/2020 10:15,76.99,0.453
12/22/2020 10:30,76.97,0.453
12/22/2020 10:45,76.901,0.453
12/22/2020 11:00,76.881,0.453
12/22/2020 11:15,76.814,0.563
12/22/2020 11:30,76.795,0.563
12/22/2020 11:45,76.765,0.563
12/22/2020 12:00,76.676,0.563
12/22/2020 12:15,76.659,0.674
12/22/2020 12:30,76.681,0.784
12/22/2020 12:45,76.74,0.784
12/22/2020 13:00,76.691,0.784
12/22/2020 13:15,76.669,0.674
12/22/2020 13:30,76.639,0.674
12/22/2020 13:45,76.617,0.563
12/22/2020 14:00,76.597,0.563
12/22/2020 14:15,76.577,0.563
12/22/2020 14:30,76.518,0.563
12/22/2020 14:45,76.508,0.563
12/22/2020 15:00,76.488,0.563
12/22/2020 15:15,76.439,0.563
12/22/2020 15:30,76.439,0.563
12/22/2020 15:45,76.456,0.453
12/22/2020 16:00,76.387,0.453
12/22/2020 16:15,76.397,0.453
12/22/2020 16:30,76.377,0.453
12/22/2020 16:45,76.397,0.453
12/22/2020 17:00,76.367,0.453
12/22/2020 17:15,76.367,0.453
12/22/2020 17:30,76.387,0.453
12/22/2020 17:45,76.377,0.453
12/22/2020 18:00,76.496,0.453
12/22/2020 18:15,76.545,0.453
12/22/2020 18:30,76.486,0.453
12/22/2020 18:45,76.454,0.343
12/22/2020 19:00,76.525,0.453
12/22/2020 19:15,76.594,0.453
12/22/2020 19:30,76.622,0.343
12/22/2020 19:45,76.651,0.343
12/22/2020 20:00,76.651,0.343
12/22/2020 20:15,76.631,0.343
12/22/2020 20:30,76.631,0.343
12/22/2020 20:45,76.612,0.343
12/22/2020 21:00,76.582,0.343
12/22/2020 21:15,76.622,0.343
12/22/2020 21:30,76.631,0.343
12/22/2020 21:45,76.631,0.343
12/22/2020 22:00,76.483,0.343
12/22/2020 22:15,76.424,0.343
12/22/2020 22:30,76.444,0.343
12/22/2020 22:45,76.572,0.343
12/22/2020 23:00,76.651,0.343
12/22/2020 23:15,76.612,0.343
12/22/2020 23:30,76.671,0.343
12/22/2020 23:45,76.73,0.343
12/23/2020 0:00,76.77,0.343
12/23/2020 0:15,76.74,0.343
12/23/2020 0:30,76.74,0.343
12/23/2020 0:45,76.78,0.343
12/23/2020 1:00,76.77,0.343
12/23/2020 1:15,76.819,0.343
12/23/2020 1:30,76.809,0.343
12/23/2020 1:45,76.839,0.343
12/23/2020 2:00,76.879,0.343
12/23/2020 2:15,76.928,0.343
12/23/2020 2:30,76.948,0.343
12/23/2020 2:45,76.997,0.343
12/23/2020 3:00,77.066,0.343
12/23/2020 3:15,77.047,0.343
12/23/2020 3:30,77.076,0.343
12/23/2020 3:45,77.066,0.343
12/23/2020 4:00,77.116,0.343
12/23/2020 4:15,77.155,0.343
12/23/2020 4:30,77.215,0.343
12/23/2020 4:45,77.225,0.343
12/23/2020 5:00,77.234,0.343
12/23/2020 5:15,77.274,0.343
12/23/2020 5:30,77.274,0.343
12/23/2020 5:45,77.313,0.343
12/23/2020 6:00,77.323,0.343
12/23/2020 6:15,77.333,0.343
12/23/2020 6:30,77.343,0.343
12/23/2020 6:45,77.363,0.343
12/23/2020 7:00,77.353,0.343
12/23/2020 7:15,77.363,0.343
12/23/2020 7:30,77.383,0.343
12/23/2020 7:45,77.393,0.343
12/23/2020 8:00,77.412,0.343
12/23/2020 8:15,77.412,0.343
12/23/2020 8:30,77.442,0.343
12/23/2020 8:45,77.454,0.453
12/23/2020 9:00,77.484,0.453
12/23/2020 9:15,77.494,0.453
12/23/2020 9:30,77.504,0.453
12/23/2020 9:45,77.524,0.453
12/23/2020 10:00,77.534,0.453
12/23/2020 10:15,77.543,0.453
12/23/2020 10:30,77.553,0.453
12/23/2020 10:45,77.543,0.453
12/23/2020 11:00,77.573,0.453
12/23/2020 11:15,77.553,0.453
12/23/2020 11:30,77.573,0.453
12/23/2020 11:45,77.553,0.453
12/23/2020 12:00,77.543,0.453
12/23/2020 12:15,77.534,0.453
12/23/2020 12:30,77.524,0.453
12/23/2020 12:45,77.514,0.453
12/23/2020 13:00,77.514,0.453
12/23/2020 13:15,77.504,0.453
12/23/2020 13:30,77.524,0.453
12/23/2020 13:45,77.524,0.453
12/23/2020 14:00,77.524,0.453
12/23/2020 14:15,77.464,0.453
12/23/2020 14:30,77.504,0.453
12/23/2020 14:45,77.494,0.453
12/23/2020 15:00,77.524,0.453
12/23/2020 15:15,77.534,0.453
12/23/2020 15:30,77.563,0.453
12/23/2020 15:45,77.583,0.453
12/23/2020 16:00,77.583,0.453
12/23/2020 16:15,77.623,0.453
12/23/2020 16:30,77.603,0.453
12/23/2020 16:45,77.61,0.343
12/23/2020 17:00,77.61,0.343
12/23/2020 17:15,77.64,0.343
12/23/2020 17:30,77.699,0.343
12/23/2020 17:45,77.659,0.343
12/23/2020 18:00,77.669,0.343
12/23/2020 18:15,77.689,0.343
12/23/2020 18:30,77.699,0.343
12/23/2020 18:45,77.699,0.343
12/23/2020 19:00,77.709,0.343
12/23/2020 19:15,77.669,0.343
12/23/2020 19:30,77.659,0.343
12/23/2020 19:45,77.689,0.343
12/23/2020 20:00,77.679,0.343
12/23/2020 20:15,77.699,0.343
12/23/2020 20:30,77.679,0.343
12/23/2020 20:45,77.709,0.343
12/23/2020 21:00,77.699,0.343
12/23/2020 21:15,77.689,0.343
12/23/2020 21:30,77.679,0.343
12/23/2020 21:45,77.669,0.343
12/23/2020 22:00,77.64,0.343
12/23/2020 22:15,77.65,0.343
12/23/2020 22:30,77.669,0.343
12/23/2020 22:45,77.669,0.343
12/23/2020 23:00,77.699,0.343
12/23/2020 23:15,77.689,0.343
12/23/2020 23:30,77.699,0.343
12/23/2020 23:45,77.659,0.343
12/24/2020 0:00,77.669,0.343
12/24/2020 0:15,77.699,0.343
12/24/2020 0:30,77.679,0.343
12/24/2020 0:45,77.65,0.343
12/24/2020 1:00,77.6,0.343
12/24/2020 1:15,77.64,0.343
12/24/2020 1:30,77.61,0.343
12/24/2020 1:45,77.59,0.343
12/24/2020 2:00,77.59,0.343
12/24/2020 2:15,77.61,0.343
12/24/2020 2:30,77.6,0.343
12/24/2020 2:45,77.61,0.343
12/24/2020 3:00,77.62,0.343
12/24/2020 3:15,77.63,0.343
12/24/2020 3:30,77.65,0.343
12/24/2020 3:45,77.65,0.343
