ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,LAB_NOTES,POINT_X,POINT_Y
FCW 988,988,Peterson Reservoir,PTRR_090121,PTRR,9/1/2021,11:30:00,NA,NORM,14,3.46,2.5,8.23,0.4,6.87,196.75,40.47,1.68,0.08,1.38,0.55,5.23,0.03,0.86,0.39,0,7.23,NA,-105.793993,40.55935863
FCW 989,989,Joe Wright Reservoir Inflow,JOEI_090121,JOEI,9/1/2021,12:15:00,NA,NORM,9,0.21,4,4.93,0.27,7.35,470.45,65.03,1.78,0.03,0.48,1.54,8.4,0.14,0.29,0.58,0,7.8,NA,-105.8831594,40.5401245
FCW 990,990,Joe Wright Reservoir,JOER_090121,JOER,9/1/2021,12:40:00,NA,NORM,13,1.51,2.5,6.21,0.19,7.21,387.54,47.32,1.48,0.02,0.6,1.12,6.31,0.08,0.48,0.04,0,3.71,NA,-105.8749515,40.55593093
FCW 991,991,Chambers Lake Inflow,CBRI_090121,CBRI,9/1/2021,13:05:00,NA,NORM,8,0.29,4,6.83,0.21,7.12,442.21,53.21,1.98,0.03,0.82,1.1,6.98,0.05,0.66,0.09,0,3.45,NA,-105.8572669,40.57794629
FCW 991,991,Chambers Lake Inflow,CBRI_090121,CBRI,9/1/2021,13:05:00,NA,NORM,8,0.29,4,6.83,0.21,7.12,442.21,53.21,1.98,0.03,0.82,1.1,6.98,0.05,0.66,0.09,0,3.45,NA,-105.8572669,40.57794629
FCW 992,992,Barnes Meadow Reservoir Outflow,BMD_090121,BMD,9/1/2021,13:20:00,NA,NORM,7,1.23,13,7.02,0.53,6.9,421.2,65.39,2.41,0.31,1.09,1.51,7.33,0.03,1.56,0.22,0,9.36,NA,-105.8363862,40.60059258
FCW 993,993,Barnes Meadow Reservoir Outflow,BMD_090121,BMD,9/1/2021,13:20:00,NA,BLANK,7,0.02,0.01,0.05,0.01,5.51,3.97,1.46,0.01,0,0,0,0.02,0,0,0.01,0,0,NA,-105.8363862,40.60059258
FCW 994,994,Barnes Meadow Reservoir,BRNR_090121,BRNR,9/1/2021,14:00:00,NA,NORM,15.5,2.6,4,13.96,0.43,7.22,494.3,78.45,2.68,0.04,1.32,1.77,9.66,0.03,1.81,0.03,0,10.23,NA,-105.8333281,40.60085972
FCW 995,995,Chambers Lake,CBRR_090121,CBRR,9/1/2021,15:00:00,NA,NORM,8,1.11,5,6.55,0.26,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54,NA,-105.8432594,40.60437763
FCW 996,996,Chambers Lake Outflow,CHD_090121,CHD,9/1/2021,15:10:00,NA,NORM,14,1.3,3,6.49,0.24,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41,NA,-105.8427182,40.60232576
FCW 997,997,Long Draw Reservoir,LNGR_090821,LNGR,9/8/2021,9:30:00,NA,NORM,12,1.07,6,5.37,0.3,6.96,273.78,43.22,1.09,0.03,0.58,0.92,5.04,0.28,0.17,0.47,0,8.58,NA,-105.7725203,40.50086976
FCW 998,998,Long Draw Reservoir Outflow,LNGO_090821,LNGO,9/8/2021,10:10:00,NA,NORM,11,1.2,7,4.38,0.29,6.93,296.38,51.7,1.1,0.04,0.58,0.9,6.92,0.27,0.16,0.46,0,8.52,NA,-105.7709356,40.50367919
FCW 999,999,Peterson Reservoir Outflow,PTRO_090821,PTRO,9/8/2021,11:05:00,NA,NORM,15,1.98,10,5.66,0.35,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65,NA,-105.7928918,40.56063222
FCW 1000,1000,Peterson Reservoir,PTRR_090821,PTRR,9/8/2021,11:30:00,NA,NORM,16,1.59,9.8,7.14,0.46,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63,NA,-105.793993,40.55935863
FCW 1001,1001,Peterson Reservoir,PTRR_090821,PTRR,9/8/2021,11:30:00,NA,DUPLICATE,16,1.51,9.9,7.11,0.46,6.81,183.82,37.41,1.72,0.08,1.35,0.46,3.93,0.03,1.06,0.09,0,7.74,NA,-105.793993,40.55935863
FCW 1002,1002,Joe Wright Reservoir Inflow,JOEI_090821,JOEI,9/8/2021,12:50:00,NA,NORM,11,0.14,3,4.1,0.18,7.09,647.17,68.14,2.67,0.01,0.62,1.23,7.38,0.12,1.39,0.22,0,4.11,pH and ions confirmed,-105.8831594,40.5401245
FCW 1003,1003,Joe Wright Reservoir,JOER_090821,JOER,9/8/2021,13:15:00,NA,NORM,12,1.21,3.5,4.57,0.19,6.97,373.4,50.97,1.49,0,0.64,1.36,7.02,0.11,0.48,0.03,0,3.91,NA,-105.8749515,40.55593093
FCW 1004,1004,Chambers Lake Inflow,CBRI_090821,CBRI,9/8/2021,13:45:00,NA,NORM,NA,0.37,3.4,4.34,0.23,6.99,441.15,53.77,2.12,0.01,0.89,1.29,7.52,0.08,0.7,0.1,0,2.92,NA,-105.8572669,40.57794629
FCW 1004,1004,Chambers Lake Inflow,CBRI_090821,CBRI,9/8/2021,13:45:00,NA,NORM,NA,0.37,3.4,4.34,0.23,6.99,441.15,53.77,2.12,0.01,0.89,1.29,7.52,0.08,0.7,0.1,0,2.92,NA,-105.8572669,40.57794629
FCW 1005,1005,Barnes Meadow Reservoir Outflow,BMD_090821,BMD,9/8/2021,14:05:00,NA,NORM,NA,4.82,14,7.85,0.6,6.86,408.09,62.84,2.497,0.3258,1.088,1.177,6.374,0.03,1.7014,0.0858,0,8.5733,NA,-105.8363862,40.60059258
FCW 1006,1006,Barnes Meadow Reservoir,BRNR_090821,BRNR,9/8/2021,14:30:00,NA,NORM,NA,2.36,8,11.86,0.42,6.98,425.66,72.15,2.61,0.302,1.291,1.0568,9.738,0.036,1.6694,0.0787,0.0871,8.5896,NA,-105.8333281,40.60085972
FCW 1007,1007,Chambers Lake,CBRR_090821,CBRR,9/8/2021,15:00:00,NA,NORM,NA,0.98,5.1,6.65,0.2,6.98,382.51,61.43,1.66,0.011,1.307,1.642,10.32,0.063,1.7024,0.0322,0,3.4,NA,-105.8432594,40.60437763
FCW 1008,1008,Chambers Lake Outflow,CHD_090821,CHD,9/8/2021,15:30:00,NA,NORM,NA,1.38,5.6,5.59,0.19,6.93,402.33,45.38,1.61,0.008,0.878,1.19,5.176,0.0322,0.5664,0.1144,0,3.2505,NA,-105.8427182,40.60232576
FCW 1045,1045,Long Draw Reservoir,LNGR_091521,LNGR,9/15/2021,9:30:00,NA,NORM,NA,1.49,5.2,4.56,0.3,7.03,294.03,48.97,1.23,0.05,0.68,0.84,5.54,0.27,0.18,0.42,0,8.8,NA,-105.7725203,40.50086976
FCW 1046,1046,Long Draw Reservoir Outflow,LNGO_091521,LNGO,9/15/2021,10:10:00,NA,NORM,NA,1.8,6.7,3.89,0.24,7.05,292.56,49.26,1.17,0.03,0.66,0.85,6.03,0.27,0.18,0.39,0,8.76,NA,-105.7709356,40.50367919
FCW 1047,1047,Peterson Reservoir Outflow,PTRO_091521,PTRO,9/15/2021,11:05:00,NA,NORM,NA,1.64,13.5,4.21,0.31,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23,NA,-105.7928918,40.56063222
FCW 1048,1048,Peterson Reservoir,PTRR_091521,PTRR,9/15/2021,11:45:00,NA,NORM,NA,1.03,9,4.81,0.43,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91,NA,-105.793993,40.55935863
FCW 1049,1049,Joe Wright Reservoir Inflow,JOEI_091521,JOEI,9/15/2021,12:30:00,NA,NORM,NA,0.16,2.5,4,0.12,7.63,644.45,71.18,3.24,0.01,0.75,1.69,7.01,0.1,1.98,0.16,0,3.36,pH and ions confirmed,-105.8831594,40.5401245
FCW 1050,1050,Joe Wright Reservoir,JOER_091521,JOER,9/15/2021,12:50:00,NA,NORM,NA,1.75,4.1,3.27,0.16,7.16,370.39,52.16,1.57,0.05,0.74,1.53,7,0.1,0.52,0.04,0,3.98,NA,-105.8749515,40.55593093
FCW 1051,1051,Chambers Lake Inflow,CBRI_091521,CBRI,9/15/2021,13:15:00,NA,NORM,NA,0.58,5.5,4.51,0.21,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37,NA,-105.8572669,40.57794629
FCW 1051,1051,Chambers Lake Inflow,CBRI_091521,CBRI,9/15/2021,13:15:00,NA,NORM,NA,0.58,5.5,4.51,0.21,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37,NA,-105.8572669,40.57794629
FCW 1052,1052,Chambers Lake Inflow,CBRI_091521,CBRI,9/15/2021,13:15:00,NA,DUPLICATE,NA,0.53,4,4.44,0.21,7.13,353.04,47.7,1.6,0.01,0.77,1.4,6.53,0.08,0.68,0.24,0,3.38,NA,-105.8572669,40.57794629
FCW 1052,1052,Chambers Lake Inflow,CBRI_091521,CBRI,9/15/2021,13:15:00,NA,DUPLICATE,NA,0.53,4,4.44,0.21,7.13,353.04,47.7,1.6,0.01,0.77,1.4,6.53,0.08,0.68,0.24,0,3.38,NA,-105.8572669,40.57794629
FCW 1053,1053,Barnes Meadow Reservoir Outflow,BMD_091521,BMD,9/15/2021,13:40:00,NA,NORM,NA,1.16,10,6.53,0.58,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93,NA,-105.8363862,40.60059258
FCW 1054,1054,Barnes Meadow Reservoir,BRNR_091521,BRNR,9/15/2021,14:00:00,NA,NORM,NA,3.2,5.4,6.29,0.31,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09,NA,-105.8333281,40.60085972
FCW 1055,1055,Chambers Lake,CBRR_091521,CBRR,9/15/2021,14:25:00,NA,NORM,NA,1.08,5.8,5.66,0.2,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32,NA,-105.8432594,40.60437763
FCW 1056,1056,Chambers Lake Outflow,CHD_091521,CHD,9/15/2021,14:40:00,NA,NORM,NA,1.37,3.8,4.55,0.2,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3,NA,-105.8427182,40.60232576
FCW 1063,1063,Comanche Reservoir Inflow,COMI_092121,COMI,9/21/2021,8:46:00,NA,NORM,NA,0.17,2.1,2.34,0.19,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96,NA,-105.6626,40.5858963
FCW 1064,1064,Comanche Reservoir,COMR_092121,COMR,9/21/2021,9:11:00,NA,NORM,NA,0.68,10.1,1.96,0.17,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47,NA,-105.6455009,40.58530862
FCW 1065,1065,Hourglass Reservoir Inflow,HORI_092121,HORI,9/21/2021,9:25:00,NA,NORM,NA,0.18,2.1,1.04,0.26,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48,NA,-105.6409321,40.58050908
FCW 1066,1066,Comanche Reservoir Outflow,COMO_092121,COMO,9/21/2021,9:35:00,NA,NORM,NA,2.68,10,2.45,0.24,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36,NA,-105.6440011,40.58460484
FCW 1067,1067,Hourglass Reservoir,HORR_092121,HORR,9/21/2021,10:00:00,NA,NORM,NA,3.02,3.5,1.51,0.16,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62,NA,-105.6314023,40.58203201
FCW 1068,1068,Hourglass Reservoir Outflow,HORO_092121,HORO,9/21/2021,10:23:00,NA,NORM,NA,2.69,3.1,0.99,0.16,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64,NA,-105.6309523,40.58287424
FCW 1085,1085,Long Draw Reservoir,LNGR_092221,LNGR,9/22/2021,9:10:00,NA,NORM,NA,2.27,5.5,4.31,0.28,6.97,309.51,48.47,1.21,0.03,0.65,0.9,5.66,0.27,0.17,0.31,0,8.41,NA,-105.7725203,40.50086976
FCW 1086,1086,Long Draw Reservoir Outflow,LNGO_092221,LNGO,9/22/2021,9:45:00,NA,NORM,NA,2.57,6,3.77,0.23,6.96,309.08,49.74,1.23,0.06,0.64,0.87,6.41,0.27,0.18,0.3,0,8.44,NA,-105.7709356,40.50367919
FCW 1087,1087,Long Draw Reservoir Outflow,LNGO_092221,LNGO,9/22/2021,9:45:00,NA,DUPLICATE,NA,2.55,6.5,3.74,0.21,6.98,319.32,49.38,1.23,0.05,0.64,0.82,6.26,0.27,0.21,0.3,0,8.47,NA,-105.7709356,40.50367919
FCW 1088,1088,Peterson Reservoir Outflow,PTRO_092221,PTRO,9/22/2021,10:45:00,NA,NORM,NA,3.55,10.5,4.06,0.32,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75,NA,-105.7928918,40.56063222
FCW 1089,1089,Peterson Reservoir,PTRR_092221,PTRR,9/22/2021,11:00:00,NA,NORM,NA,1.12,7.4,4.73,0.52,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84,NA,-105.793993,40.55935863
FCW 1090,1090,Joe Wright Reservoir Inflow,JOEI_092221,JOEI,9/22/2021,11:30:00,NA,NORM,NA,0.1,2.3,4.05,0.13,7.33,691.02,71.48,3.34,0.02,0.66,1.65,6.98,0.09,2.12,0.2,0,3.22,pH and ions confirmed,-105.8831594,40.5401245
FCW 1091,1091,Joe Wright Reservoir,JOER_092221,JOER,9/22/2021,12:00:00,NA,NORM,NA,1.77,2.8,3.34,0.15,7.05,355.97,49.47,1.55,0.01,0.67,1.45,7.06,0.1,0.51,0.06,0,3.99,NA,-105.8749515,40.55593093
FCW 1092,1092,Chambers Lake Inflow,CBRI_092221,CBRI,9/22/2021,12:30:00,NA,NORM,NA,0.92,4,4.61,0.2,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38,NA,-105.8572669,40.57794629
FCW 1092,1092,Chambers Lake Inflow,CBRI_092221,CBRI,9/22/2021,12:30:00,NA,NORM,NA,0.92,4,4.61,0.2,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38,NA,-105.8572669,40.57794629
FCW 1093,1093,Barnes Meadow Reservoir Outflow,BMD_092221,BMD,9/22/2021,12:55:00,NA,NORM,NA,0.96,6.6,6.96,0.57,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53,NA,-105.8363862,40.60059258
FCW 1094,1094,Barnes Meadow Reservoir,BRNR_092221,BRNR,9/22/2021,13:15:00,NA,NORM,NA,3.47,4,7.6,0.3,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06,NA,-105.8333281,40.60085972
FCW 1095,1095,Chambers Lake,CBRR_092221,CBRR,9/22/2021,13:45:00,NA,NORM,NA,0.91,3.6,5.51,0.18,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48,NA,-105.8432594,40.60437763
FCW 1096,1096,Chambers Lake Outflow,CHD_092221,CHD,9/22/2021,14:10:00,NA,NORM,NA,1.47,3.5,4.31,0.18,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63,NA,-105.8427182,40.60232576
FCW 1097,1097,Long Draw Reservoir,LNGR_092821,LNGR,9/28/2021,9:45:00,NA,NORM,NA,1.69,5.9,4.29,0.3,6.97,293.01,45.88,1.15,0.06,0.61,0.9,5.12,0.29,0.24,0.2,0,8.32,NA,-105.7725203,40.50086976
FCW 1098,1098,Long Draw Reservoir Outflow,LNGO_092821,LNGO,9/28/2021,10:05:00,NA,NORM,NA,1.97,10.6,3.55,0.19,7,311.06,46.46,1.13,0.05,0.61,0.83,5.7,0.29,0.21,0.19,0,8.39,NA,-105.7709356,40.50367919
FCW 1099,1099,Peterson Reservoir Outflow,PTRO_092821,PTRO,9/28/2021,11:00:00,NA,NORM,NA,3.25,11.5,4.06,0.31,7.12,335.4,42.07,2.6,0.09,1.3,0.47,3.53,0.05,1.33,0.02,0.03,3.79,NO3 Confirmed,-105.7928918,40.56063222
FCW 1100,1100,Peterson Reservoir,PTRR_092821,PTRR,9/28/2021,11:15:00,NA,NORM,NA,0.8,9.3,5.22,0.49,6.77,181.45,39.35,1.68,0.13,1.33,0.53,3.95,0.05,1.05,0.09,0,7.93,NA,-105.793993,40.55935863
FCW 1101,1101,Joe Wright Reservoir Inflow,JOEI_092821,JOEI,9/28/2021,12:05:00,NA,NORM,NA,0.5,2,3.89,0.14,7.49,713.06,68.41,3.64,0.03,0.62,1.49,6.14,0.1,1.97,0.1,0,2.76,pH and ions confirmed,-105.8831594,40.5401245
FCW 1102,1102,Joe Wright Reservoir,JOER_092821,JOER,9/28/2021,12:30:00,NA,DUPLICATE,NA,1.42,2.2,3.45,0.16,7,363.18,51.42,1.4,0.02,0.64,1.43,6.99,0.1,0.47,0.01,0,3.84,NA,-105.8749515,40.55593093
FCW 1103,1103,Joe Wright Reservoir,JOER_092821,JOER,9/28/2021,12:30:00,NA,NORM,NA,1.45,2.5,3.51,0.15,6.98,361.96,50.49,1.43,0.02,0.64,1.41,6.93,0.1,0.51,0.01,0,3.85,NA,-105.8749515,40.55593093
FCW 1104,1104,Chambers Lake Inflow,CBRI_092821,CBRI,9/28/2021,13:00:00,NA,NORM,NA,1.18,3.6,4.33,0.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36,NA,-105.8572669,40.57794629
FCW 1104,1104,Chambers Lake Inflow,CBRI_092821,CBRI,9/28/2021,13:00:00,NA,NORM,NA,1.18,3.6,4.33,0.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36,NA,-105.8572669,40.57794629
FCW 1105,1105,Barnes Meadow Reservoir Outflow,BMD_092821,BMD,9/28/2021,13:30:00,NA,NORM,NA,2.05,9.3,6.11,0.6,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73,NA,-105.8363862,40.60059258
FCW 1106,1106,Barnes Meadow Reservoir,BRNR_092821,BRNR,9/28/2021,13:45:00,NA,NORM,NA,3.1,3.2,7.33,0.3,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2,NA,-105.8333281,40.60085972
FCW 1107,1107,Chambers Lake,CBRR_092821,CBRR,9/28/2021,14:10:00,NA,NORM,NA,0.72,5,5.22,0.17,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58,NA,-105.8432594,40.60437763
FCW 1108,1108,Chambers Lake Outflow,CHD_092821,CHD,9/28/2021,14:25:00,NA,NORM,NA,1.15,3.1,4.22,0.19,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61,NA,-105.8427182,40.60232576
FCW 1164,1164,Long Draw Reservoir,LNGR_101321,LNGR,10/13/2021,NA,NA,NORM,NA,2.18,12,4.31,0.27,6.98,290.69,44.06,1.22,0.02,0.61,0.82,4.93,0.26,0.23,0.21,0,7.66,NA,-105.7725203,40.50086976
FCW 1165,1165,Long Draw Reservoir Outflow,LNGO_101321,LNGO,10/13/2021,NA,NA,NORM,NA,1.05,14,3.41,0.2,7.01,329.23,46.64,1.74,0.09,0.77,0.99,5.27,0.22,0.35,0.15,0,6.41,Salt contamination?,-105.7709356,40.50367919
FCW 1166,1166,Peterson Reservoir Outflow,PTRO_101321,PTRO,10/13/2021,NA,NA,NORM,NA,2.35,9.5,3.96,0.3,7.07,285.02,37.69,2.47,0.03,1.31,0.44,3.22,0.04,1.33,0.26,0,3.42,NA,-105.7928918,40.56063222
FCW 1167,1167,Peterson Reservoir,PTRR_101321,PTRR,10/13/2021,NA,NA,NORM,NA,1.53,11,5.41,0.47,6.89,192.31,39.53,1.73,0.12,1.31,0.51,3.51,0.04,1.08,0.13,0,7.82,NA,-105.793993,40.55935863
FCW 1168,1168,Joe Wright Reservoir Inflow,JOEI_101321,JOEI,10/13/2021,NA,NA,NORM,NA,0.29,1.3,3.77,0.15,7.27,549.03,67.64,2.41,0.01,0.65,1.32,6.56,0.12,1.37,0.56,0,7.54,pH and ions confirmed,-105.8831594,40.5401245
FCW 1169,1169,Joe Wright Reservoir,JOER_101321,JOER,10/13/2021,NA,NA,NORM,NA,2.78,4.5,3.23,0.15,7.18,394.35,51.46,1.5,0.01,0.63,1.44,6.59,0.09,0.57,0.01,0,3.87,NA,-105.8749515,40.55593093
FCW 1170,1170,Chambers Lake Inflow,CBRI_101321,CBRI,10/13/2021,NA,NA,NORM,NA,1.58,3.9,3.96,0.18,7.22,471.8,60.74,2.29,0.03,0.85,1.47,7.59,0.08,1.1,0.06,0,3.37,Possible salt contamination?,-105.8572669,40.57794629
FCW 1170,1170,Chambers Lake Inflow,CBRI_101321,CBRI,10/13/2021,NA,NA,NORM,NA,1.58,3.9,3.96,0.18,7.22,471.8,60.74,2.29,0.03,0.85,1.47,7.59,0.08,1.1,0.06,0,3.37,Possible salt contamination?,-105.8572669,40.57794629
FCW 1171,1171,Barnes Meadow Reservoir Outflow,BMD_101321,BMD,10/13/2021,NA,NA,NORM,NA,1.97,10.5,5.98,0.57,7.2,372.75,62.07,2.54,0.21,1.29,1.07,5.75,0.05,1.8,0,0,10.81,NA,-105.8363862,40.60059258
FCW 1172,1172,Barnes Meadow Reservoir,BRNR_101321,BRNR,10/13/2021,NA,NA,NORM,NA,4.6,5,7.09,0.34,7.24,476.04,74.96,2.61,0.03,1.27,1.09,8.05,0.07,1.87,0.01,0,10.62,NA,-105.8333281,40.60085972
FCW 1173,1173,Barnes Meadow Reservoir,BRNR_101321,BRNR,10/13/2021,NA,NA,DUPLICATE,NA,4.49,7,7.11,0.34,7.23,453.94,71.26,2.57,0.03,1.28,1.09,7.95,0.04,1.86,0.03,0,10.61,NA,-105.8333281,40.60085972
FCW 1174,1174,Chambers Lake,CBRR_101321,CBRR,10/13/2021,NA,NA,NORM,NA,1.61,35.8,4.99,0.18,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85,NA,-105.8432594,40.60437763
FCW 1175,1175,Chambers Lake Outflow,CMD_101321,CHD,10/13/2021,NA,NA,NORM,NA,2.23,6.9,3.87,0.18,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87,NA,-105.8427182,40.60232576
FCW 1207,1207,Joe Wright Reservoir Inflow,JOEI_102621,JOEI,10/26/2021,9:15:00,NA,NORM,NA,0.28,1.5,4.14,0.24,7.12,582.73,64.39,2.24,0.01,0.65,1.07,4.95,0.18,0.92,0.68,0,9.47,NA,-105.8831594,40.5401245
FCW 1208,1208,Joe Wright Reservoir Inflow,JOEI_102621,JOEI,10/26/2021,9:15:00,NA,DUPLICATE,NA,0.26,1.5,4.02,0.23,7.12,593.54,65.59,2.26,0,0.65,1.09,4.93,0.17,0.92,0.67,0,9.44,NA,-105.8831594,40.5401245
FCW 1209,1209,Joe Wright Reservoir,JOER_102621,JOER,10/26/2021,9:45:00,NA,NORM,NA,2.24,4,4.01,0.14,6.99,423.31,50.32,1.52,0.01,0.69,1.42,6.27,0.15,0.56,0.05,0,3.93,NA,-105.8749515,40.55593093
FCW 1210,1210,Chambers Lake Inflow,CBRI_102621,CBRI,10/26/2021,10:15:00,NA,NORM,NA,1.22,3.5,4.67,0.2,7.24,541.29,60.19,2.3,0.01,0.93,1.38,6.18,0.08,1.06,0.3,0,3.66,NA,-105.8572669,40.57794629
FCW 1210,1210,Chambers Lake Inflow,CBRI_102621,CBRI,10/26/2021,10:15:00,NA,NORM,NA,1.22,3.5,4.67,0.2,7.24,541.29,60.19,2.3,0.01,0.93,1.38,6.18,0.08,1.06,0.3,0,3.66,NA,-105.8572669,40.57794629
FCW 1211,1211,Barnes Meadow Reservoir Outflow,BMD_102621,BMD,10/26/2021,10:35:00,NA,NORM,NA,1.01,15,7.46,0.38,6.99,518.47,66.97,2.57,0.03,1.36,0.84,5.38,0.07,1.79,0.15,0,11.25,NA,-105.8363862,40.60059258
FCW 1212,1212,Barnes Meadow Reservoir,BRNR_102621,BRNR,10/26/2021,11:15:00,NA,NORM,NA,3.34,4,7.58,0.34,7.08,523.99,71.34,2.55,0.02,1.35,0.85,6.45,0.05,1.77,0.01,0,11.03,NA,-105.8333281,40.60085972
FCW 1213,1213,Chambers Lake,CBRR_102621,CBRR,10/26/2021,11:45:00,NA,NORM,NA,2.08,5.5,4.33,0.18,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08,NA,-105.8432594,40.60437763
FCW 1214,1214,Chambers Lake Outflow,CHD_102621,CHD,10/26/2021,12:20:00,NA,NORM,NA,2.41,3.5,4.49,0.2,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12,NA,-105.8427182,40.60232576
