Name,Type,Latitude,Longitude,Burn_status,Snow_zone,Sensor_model,Sensor_install,Sensor_remove,Comments
michiganditch,stage,40.51455314,-105.8838244,unburned,persistent,WT-HR1000,8/5/2021,still running,
michiganditch,baro,40.51445383,-105.8839021,unburned,persistent,U2,1/10/2021,still running,
mill,rain,40.55879721,-105.179745,unburned,intermittent,TE525,10/22/2015,8/13/2021,gauge was tipped about 10 deg off center; data since 10/2020 may be affected
mill,stage,40.55972589,-105.173018,unburned,intermittent,RuggedTroll,10/25/2015,still running,
mill,baro,40.55879721,-105.179745,unburned,intermittent,RuggedTroll,1/1/2015,still running,
montgomery,rain,40.54368283,-105.8817328,unburned,persistent,Rainwise,6/11/2021,still running,
montgomery,stage,40.54369047,-105.8813543,burned_2020,persistent,WT-HR1000,11/19/2020,still running,
mtcampus,rain,,,unburned,transitional,,,still running,gauge tipped over during fire; data removed for 8/20 to 4/21
mtcampus,stage,,,unburned,transitional,,,still running,sensor is removed during winter season
mtcampus,Ta_f,,,unburned,transitional,,,,
mtcampus,Ta,,,unburned,transitional,,,,
mtcampus,RH_f,,,unburned,transitional,,,,
mtcampus,RH,,,unburned,transitional,,,,
mtcampus,u_f,,,unburned,transitional,,,,
mtcampus,u,,,unburned,transitional,,,,
mtcampus,Ts_5,,,unburned,transitional,,,,
mtcampus,VWC_5,,,unburned,transitional,,,,
mtcampus,VWC_20,,,unburned,transitional,,,,
mtcampus,4R,,,unburned,transitional,,SN-500,,
mtcampus,snow,,,unburned,transitional,,SR50-A,,
mtcampus,baro,,,unburned,transitional,,,,
skin,rain,40.67621594,-105.3882298,burned_2012,intermittent,Rainwise,4/30/2018,still running,
skin,stage,40.67623288,-105.3881284,burned_2012,intermittent,WT-HR1000,10/1/2015,still running,
tunnel,rain,40.66986026,-105.8098402,burned_2020,transitional,TE525MM-L,4/18/2021,still running,
tunnel,stage,40.66994494,-105.8102038,burned_2020,transitional,RuggedTroll,6/28/2021,still running,2021-08-05 moved adjacent to caprod
tunnel,baro,40.66988344,-105.8099604,burned_2020,transitional,RuggedTroll,5/24/2021,still running,
tunnel,stage,40.66994494,-105.8102038,burned_2020,transitional,WT-HR1000,8/5/2021,still running,
tunnel,snow,40.66989941,-105.8102854,burned_2020,transitional,camera,12/8/2020,still running,
tunnel,snow,40.66988344,-105.8099604,burned_2020,transitional,SR50A,12/16/2020,still running,
tunnel,Ta,40.66988344,-105.8099604,burned_2020,transitional,CS215,12/16/2020,still running,
tunnel,RH,40.66988344,-105.8099604,burned_2020,transitional,CS215,12/16/2020,still running,
tunnel,u,40.66988344,-105.8099604,burned_2020,transitional,RM Young 03001,12/8/2020,still running,
tunnel,4R,40.66988344,-105.8099604,burned_2020,transitional,SN-500,12/16/2020,still running,2021-07-16 took down 4R to send for repair (SW in off)
tunnel,NR,40.66988344,-105.8099604,burned_2020,transitional,NR-Lite,12/8/2020,still running,
tunnel,Ts_5,40.66988344,-105.8099604,burned_2020,transitional,SM300,12/8/2020,still running,
tunnel,VWC_5,40.66988344,-105.8099604,burned_2020,transitional,SM300,12/8/2020,still running,
tunnel,VWC_20,40.66988344,-105.8099604,burned_2020,transitional,SM300,12/8/2020,still running,
tunnel,VWC_50,40.66988344,-105.8099604,burned_2020,transitional,SM300,12/8/2020,still running,
tunnel,precip,40.66988344,-105.8099604,burned_2020,transitional,T-200B,8/14/2021,still running,
washout,stage,40.70163039,-105.6726382,burned_2020,intermittent,U2,12/16/2020,still running,
